Year,Units,timeseries,Value
2010,per 1 000 live births,infant mortality rate (under 1 year),3.4
2011,per 1 000 live births,infant mortality rate (under 1 year),3.6
2012,per 1 000 live births,infant mortality rate (under 1 year),3.3
2013,per 1 000 live births,infant mortality rate (under 1 year),3.3
2014,per 1 000 live births,infant mortality rate (under 1 year),3.2
2015,per 1 000 live births,infant mortality rate (under 1 year),3.3
2016,per 1 000 live births,infant mortality rate (under 1 year),3.4
2017,per 1 000 live births,infant mortality rate (under 1 year),3.2
2010,per 1 000 live births,under-five mortality rate,4.1
2011,per 1 000 live births,under-five mortality rate,4.3
2012,per 1 000 live births,under-five mortality rate,3.9
2013,per 1 000 live births,under-five mortality rate,3.9
2014,per 1 000 live births,under-five mortality rate,3.8
2015,per 1 000 live births,under-five mortality rate,3.9
2016,per 1 000 live births,under-five mortality rate,4.0
2017,per 1 000 live births,under-five mortality rate,3.8
