Year,Units,timeseries,Value
2010,1 000,households and small-sized enterprises connected to the electricity network,44391
2011,1 000,households and small-sized enterprises connected to the electricity network,44767
2012,1 000,households and small-sized enterprises connected to the electricity network,45723
2013,1 000,households and small-sized enterprises connected to the electricity network,46105
2014,1 000,households and small-sized enterprises connected to the electricity network,46919
2015,1 000,households and small-sized enterprises connected to the electricity network,47283
2016,1 000,households and small-sized enterprises connected to the electricity network,47607
2017,1 000,households and small-sized enterprises connected to the electricity network,47242
2018,1 000,households and small-sized enterprises connected to the electricity network,48395
2010,%,population with access to electricity,100
2011,%,population with access to electricity,100
2012,%,population with access to electricity,100
2013,%,population with access to electricity,100
2014,%,population with access to electricity,100
2015,%,population with access to electricity,100
2016,%,population with access to electricity,100
2017,%,population with access to electricity,100
