Year,facilities,Value
2010,a) schools with access to electricity,100.0
2011,a) schools with access to electricity,100.0
2012,a) schools with access to electricity,100.0
2013,a) schools with access to electricity,100.0
2014,a) schools with access to electricity,100.0
2015,a) schools with access to electricity,100.0
2016,a) schools with access to electricity,100.0
2017,a) schools with access to electricity,100.0
2018,a) schools with access to electricity,100.0
2019,a) schools with access to electricity,100.0
2010,e) schools with access to basic drinking water,100.0
2011,e) schools with access to basic drinking water,100.0
2012,e) schools with access to basic drinking water,100.0
2013,e) schools with access to basic drinking water,100.0
2014,e) schools with access to basic drinking water,100.0
2015,e) schools with access to basic drinking water,100.0
2016,e) schools with access to basic drinking water,100.0
2017,e) schools with access to basic drinking water,100.0
2018,e) schools with access to basic drinking water,100.0
2019,e) schools with access to basic drinking water,100.0
2010,f) schools with access to single-sex basic sanitation facilities,100.0
2011,f) schools with access to single-sex basic sanitation facilities,100.0
2012,f) schools with access to single-sex basic sanitation facilities,100.0
2013,f) schools with access to single-sex basic sanitation facilities,100.0
2014,f) schools with access to single-sex basic sanitation facilities,100.0
2015,f) schools with access to single-sex basic sanitation facilities,100.0
2016,f) schools with access to single-sex basic sanitation facilities,100.0
2017,f) schools with access to single-sex basic sanitation facilities,100.0
2018,f) schools with access to single-sex basic sanitation facilities,100.0
2019,f) schools with access to single-sex basic sanitation facilities,100.0
2010,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2011,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2012,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2013,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2014,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2015,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2016,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2017,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2018,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
2019,g) schools with access to basic handwashing facilities (as per the wash indicator definitions),100.0
