Year,Units,timeseries,sex,Value
2010,per 100 000 employees,fatal occupational accidents,,1.2
2011,per 100 000 employees,fatal occupational accidents,,1.2
2012,per 100 000 employees,fatal occupational accidents,,1.2
2013,per 100 000 employees,fatal occupational accidents,,1.0
2014,per 100 000 employees,fatal occupational accidents,,1.1
2015,per 100 000 employees,fatal occupational accidents,,1.0
2016,per 100 000 employees,fatal occupational accidents,,0.9
2017,per 100 000 employees,fatal occupational accidents,,0.9
2010,per 100 000 employees,non-fatal occupational accidents,,1976.1
2011,per 100 000 employees,non-fatal occupational accidents,,2058.3
2012,per 100 000 employees,non-fatal occupational accidents,,1956.3
2013,per 100 000 employees,non-fatal occupational accidents,,1900.0
2014,per 100 000 employees,non-fatal occupational accidents,,1855.7
2015,per 100 000 employees,non-fatal occupational accidents,,1812.3
2016,per 100 000 employees,non-fatal occupational accidents,,1834.3
2017,per 100 000 employees,non-fatal occupational accidents,,1819.6
2010,per 100 000 employees,non-fatal occupational accidents,female,1022.7
2011,per 100 000 employees,non-fatal occupational accidents,female,1004.4
2012,per 100 000 employees,non-fatal occupational accidents,female,998.3
2013,per 100 000 employees,non-fatal occupational accidents,female,1010.1
2014,per 100 000 employees,non-fatal occupational accidents,female,988.6
2015,per 100 000 employees,non-fatal occupational accidents,female,985.9
2016,per 100 000 employees,non-fatal occupational accidents,female,989.3
2017,per 100 000 employees,non-fatal occupational accidents,female,987.7
2010,per 100 000 employees,non-fatal occupational accidents,male,2806.8
2011,per 100 000 employees,non-fatal occupational accidents,male,3015.8
2012,per 100 000 employees,non-fatal occupational accidents,male,2820.5
2013,per 100 000 employees,non-fatal occupational accidents,male,2718.5
2014,per 100 000 employees,non-fatal occupational accidents,male,2648.3
2015,per 100 000 employees,non-fatal occupational accidents,male,2566.7
2016,per 100 000 employees,non-fatal occupational accidents,male,2609.7
2017,per 100 000 employees,non-fatal occupational accidents,male,2578.2
