Year,Type of Disease,Value
2010,,
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,,
2010,a) cardiovascular disease,45.0
2011,a) cardiovascular disease,41.8
2012,a) cardiovascular disease,41.3
2013,a) cardiovascular disease,41.4
2014,a) cardiovascular disease,40.0
2015,a) cardiovascular disease,42.3
2016,a) cardiovascular disease,
2017,a) cardiovascular disease,
2018,a) cardiovascular disease,
2010,b) cancer,77.9
2011,b) cancer,76.9
2012,b) cancer,75.0
2013,b) cancer,75.0
2014,b) cancer,73.2
2015,b) cancer,74.7
2016,b) cancer,
2017,b) cancer,
2018,b) cancer,
2010,c) diabetes mellitus,3.5
2011,c) diabetes mellitus,3.4
2012,c) diabetes mellitus,3.4
2013,c) diabetes mellitus,3.5
2014,c) diabetes mellitus,3.3
2015,c) diabetes mellitus,3.6
2016,c) diabetes mellitus,
2017,c) diabetes mellitus,
2018,c) diabetes mellitus,
2010,d) chronic respiratory disease,5.9
2011,d) chronic respiratory disease,6.0
2012,d) chronic respiratory disease,5.6
2013,d) chronic respiratory disease,6.5
2014,d) chronic respiratory disease,6.1
2015,d) chronic respiratory disease,7.1
2016,d) chronic respiratory disease,
2017,d) chronic respiratory disease,
2018,d) chronic respiratory disease,
