Year,Units,timeseries,sex,Value
2010,per 1 000 inhabitants,hiv incidence,,0.03
2011,per 1 000 inhabitants,hiv incidence,,0.03
2012,per 1 000 inhabitants,hiv incidence,,0.04
2013,per 1 000 inhabitants,hiv incidence,,0.04
2014,per 1 000 inhabitants,hiv incidence,,0.04
2015,per 1 000 inhabitants,hiv incidence,,0.04
2016,per 1 000 inhabitants,hiv incidence,,0.04
2017,per 1 000 inhabitants,hiv incidence,,0.04
2010,per 1 000 inhabitants,hiv incidence,female,0.01
2011,per 1 000 inhabitants,hiv incidence,female,0.01
2012,per 1 000 inhabitants,hiv incidence,female,0.01
2013,per 1 000 inhabitants,hiv incidence,female,0.01
2014,per 1 000 inhabitants,hiv incidence,female,0.01
2015,per 1 000 inhabitants,hiv incidence,female,0.01
2016,per 1 000 inhabitants,hiv incidence,female,0.02
2017,per 1 000 inhabitants,hiv incidence,female,0.01
2010,per 1 000 inhabitants,hiv incidence,male,0.06
2011,per 1 000 inhabitants,hiv incidence,male,0.06
2012,per 1 000 inhabitants,hiv incidence,male,0.07
2013,per 1 000 inhabitants,hiv incidence,male,0.07
2014,per 1 000 inhabitants,hiv incidence,male,0.07
2015,per 1 000 inhabitants,hiv incidence,male,0.07
2016,per 1 000 inhabitants,hiv incidence,male,0.06
2017,per 1 000 inhabitants,hiv incidence,male,0.06
