Year,Units,timeseries,Value
2010,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2011,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2012,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2013,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2014,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2015,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2016,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2017,per 1 000 women of same age,giving birth between 10 to under 15 years,0.1
2010,per 1 000 women of same age,giving birth between 15 to under 20 years,8.9
2011,per 1 000 women of same age,giving birth between 15 to under 20 years,8.3
2012,per 1 000 women of same age,giving birth between 15 to under 20 years,8.0
2013,per 1 000 women of same age,giving birth between 15 to under 20 years,7.8
2014,per 1 000 women of same age,giving birth between 15 to under 20 years,7.8
2015,per 1 000 women of same age,giving birth between 15 to under 20 years,7.9
2016,per 1 000 women of same age,giving birth between 15 to under 20 years,9.2
2017,per 1 000 women of same age,giving birth between 15 to under 20 years,8.1
