Year,Units,"sex (all age groups, with and without disabilities)","age (male and female, with and without disabilities)","disability (all age groups, male and female)",Value
2010,population that has convenient access to public transport (within 500 meters) (%),,,,
2011,population that has convenient access to public transport (within 500 meters) (%),,,,
2012,population that has convenient access to public transport (within 500 meters) (%),,,,
2013,population that has convenient access to public transport (within 500 meters) (%),,,,
2014,population that has convenient access to public transport (within 500 meters) (%),,,,
2015,population that has convenient access to public transport (within 500 meters) (%),,,,
2016,population that has convenient access to public transport (within 500 meters) (%),,,,78.95
2017,population that has convenient access to public transport (within 500 meters) (%),,,,
2018,population that has convenient access to public transport (within 500 meters) (%),,,,79.9
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,94.3
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,94.0
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,94.4
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,92.8
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,94.3
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,93.6
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,93.6
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,94.2
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,93.2
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,94.2
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,94.5
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,92.5
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,94.6
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,93.8
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,93.6
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,94.4
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),female,,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,95.6
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,93.7
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,94.4
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,93.2
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,94.0
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,93.4
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,93.6
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,94.0
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),male,,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,97.5
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,98.4
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,96.7
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,89.5
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,96.3
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,98.1
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,95.8
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,95.6
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,17 years and under,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,97.7
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,96.1
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,94.6
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,94.8
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,97.1
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,96.7
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,96.7
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,95.4
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,18 to under 30 years,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,95.2
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,96.2
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,97.8
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,96.2
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,94.1
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,92.9
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,96.1
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,96.1
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,30 to under 45 years,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,93.2
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,93.8
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,93.8
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,92.9
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,94.2
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,92.7
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,92.6
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,94.0
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,45 to under 65 years,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,92.1
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,89.6
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,91.7
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,90.0
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,92.4
