Year,Units,sex (all age groups),age (male and female),Value
2010,population subjected to physical violence (%),,,
2011,population subjected to physical violence (%),,,
2012,population subjected to physical violence (%),,,2.7
2013,population subjected to physical violence (%),,,
2014,population subjected to physical violence (%),,,
2015,population subjected to physical violence (%),,,
2016,population subjected to physical violence (%),,,
2017,population subjected to physical violence (%),,,3.0
2018,population subjected to physical violence (%),,,
2010,population who were victims of criminal offences (%),,,1.2
2011,population who were victims of criminal offences (%),,,1.2
2012,population who were victims of criminal offences (%),,,1.2
2013,population who were victims of criminal offences (%),,,1.2
2014,population who were victims of criminal offences (%),,,1.2
2015,population who were victims of criminal offences (%),,,1.2
2016,population who were victims of criminal offences (%),,,1.2
2017,population who were victims of criminal offences (%),,,1.2
2018,population who were victims of criminal offences (%),,,
2010,victims of criminal offences (number),,,932126.0
2011,victims of criminal offences (number),,,964945.0
2012,victims of criminal offences (number),,,976090.0
2013,victims of criminal offences (number),,,955737.0
2014,victims of criminal offences (number),,,947568.0
2015,victims of criminal offences (number),,,946133.0
2016,victims of criminal offences (number),,,1017602.0
2017,victims of criminal offences (number),,,1008510.0
2018,victims of criminal offences (number),,,1025241.0
2010,victims of criminal offences (number),female,,382263.0
2011,victims of criminal offences (number),female,,384661.0
2012,victims of criminal offences (number),female,,391566.0
2013,victims of criminal offences (number),female,,388258.0
2014,victims of criminal offences (number),female,,384786.0
2015,victims of criminal offences (number),female,,381892.0
2016,victims of criminal offences (number),female,,403500.0
2017,victims of criminal offences (number),female,,404035.0
2018,victims of criminal offences (number),female,,414147.0
2010,victims of criminal offences (number),male,,549863.0
2011,victims of criminal offences (number),male,,580284.0
2012,victims of criminal offences (number),male,,584524.0
2013,victims of criminal offences (number),male,,567479.0
2014,victims of criminal offences (number),male,,562782.0
2015,victims of criminal offences (number),male,,564241.0
2016,victims of criminal offences (number),male,,614102.0
2017,victims of criminal offences (number),male,,604475.0
2018,victims of criminal offences (number),male,,611094.0
2010,victims of criminal offences (number),,13 years and under,72232.0
2011,victims of criminal offences (number),,13 years and under,70429.0
2012,victims of criminal offences (number),,13 years and under,67579.0
2013,victims of criminal offences (number),,13 years and under,65334.0
2014,victims of criminal offences (number),,13 years and under,64584.0
2015,victims of criminal offences (number),,13 years and under,62342.0
2016,victims of criminal offences (number),,13 years and under,67519.0
2017,victims of criminal offences (number),,13 years and under,68820.0
2018,victims of criminal offences (number),,13 years and under,70590.0
2010,victims of criminal offences (number),,14 to under 18 years,99135.0
2011,victims of criminal offences (number),,14 to under 18 years,92128.0
2012,victims of criminal offences (number),,14 to under 18 years,88020.0
2013,victims of criminal offences (number),,14 to under 18 years,81633.0
2014,victims of criminal offences (number),,14 to under 18 years,77948.0
2015,victims of criminal offences (number),,14 to under 18 years,74650.0
2016,victims of criminal offences (number),,14 to under 18 years,82930.0
2017,victims of criminal offences (number),,14 to under 18 years,84071.0
2018,victims of criminal offences (number),,14 to under 18 years,84175.0
2010,victims of criminal offences (number),,18 to under 21 years,109139.0
2011,victims of criminal offences (number),,18 to under 21 years,104427.0
2012,victims of criminal offences (number),,18 to under 21 years,99541.0
2013,victims of criminal offences (number),,18 to under 21 years,89880.0
2014,victims of criminal offences (number),,18 to under 21 years,83802.0
2015,victims of criminal offences (number),,18 to under 21 years,80941.0
2016,victims of criminal offences (number),,18 to under 21 years,88459.0
2017,victims of criminal offences (number),,18 to under 21 years,88834.0
2018,victims of criminal offences (number),,18 to under 21 years,89688.0
2010,victims of criminal offences (number),,21 to under 60 years,600019.0
2011,victims of criminal offences (number),,21 to under 60 years,644770.0
2012,victims of criminal offences (number),,21 to under 60 years,666152.0
2013,victims of criminal offences (number),,21 to under 60 years,662202.0
2014,victims of criminal offences (number),,21 to under 60 years,663253.0
2015,victims of criminal offences (number),,21 to under 60 years,668823.0
2016,victims of criminal offences (number),,21 to under 60 years,716502.0
2017,victims of criminal offences (number),,21 to under 60 years,704139.0
2018,victims of criminal offences (number),,21 to under 60 years,715629.0
2010,victims of criminal offences (number),,60 years and over,51601.0
2011,victims of criminal offences (number),,60 years and over,53191.0
2012,victims of criminal offences (number),,60 years and over,54798.0
2013,victims of criminal offences (number),,60 years and over,56688.0
2014,victims of criminal offences (number),,60 years and over,57981.0
2015,victims of criminal offences (number),,60 years and over,59377.0
2016,victims of criminal offences (number),,60 years and over,62192.0
2017,victims of criminal offences (number),,60 years and over,62646.0
2018,victims of criminal offences (number),,60 years and over,65159.0
