Year,Units,timeseries,Value
2010,per 100 000 adults,a) branches of payment service providers,56.7
2011,per 100 000 adults,a) branches of payment service providers,57.1
2012,per 100 000 adults,a) branches of payment service providers,54.8
2013,per 100 000 adults,a) branches of payment service providers,54.4
2014,per 100 000 adults,a) branches of payment service providers,52.9
2015,per 100 000 adults,a) branches of payment service providers,48.3
2016,per 100 000 adults,a) branches of payment service providers,45.1
2017,per 100 000 adults,a) branches of payment service providers,42.4
2010,per 100 000 adults,b) atms of national payment service providers,116.5
2011,per 100 000 adults,b) atms of national payment service providers,121.1
2012,per 100 000 adults,b) atms of national payment service providers,118.5
2013,per 100 000 adults,b) atms of national payment service providers,118.3
2014,per 100 000 adults,b) atms of national payment service providers,123.4
2015,per 100 000 adults,b) atms of national payment service providers,122.3
2016,per 100 000 adults,b) atms of national payment service providers,120.4
2017,per 100 000 adults,b) atms of national payment service providers,118.7
