Year,Units,Value
2010,Compliance with the Basel Convention (%),
2011,Compliance with the Basel Convention (%),
2012,Compliance with the Basel Convention (%),
2013,Compliance with the Basel Convention (%),
2014,Compliance with the Basel Convention (%),
2015,Compliance with the Basel Convention (%),100.0
2016,Compliance with the Basel Convention (%),
2017,Compliance with the Basel Convention (%),
2018,Compliance with the Basel Convention (%),
2010,Compliance with the Minamata Convention (%),
2011,Compliance with the Minamata Convention (%),
2012,Compliance with the Minamata Convention (%),
2013,Compliance with the Minamata Convention (%),
2014,Compliance with the Minamata Convention (%),
2015,Compliance with the Minamata Convention (%),
2016,Compliance with the Minamata Convention (%),
2017,Compliance with the Minamata Convention (%),
2018,Compliance with the Minamata Convention (%),
2010,Compliance with the Montreal Protocol (%),
2011,Compliance with the Montreal Protocol (%),
2012,Compliance with the Montreal Protocol (%),
2013,Compliance with the Montreal Protocol (%),
2014,Compliance with the Montreal Protocol (%),
2015,Compliance with the Montreal Protocol (%),100.0
2016,Compliance with the Montreal Protocol (%),
2017,Compliance with the Montreal Protocol (%),
2018,Compliance with the Montreal Protocol (%),
2010,Compliance with the Rotterdam Convention (%),
2011,Compliance with the Rotterdam Convention (%),
2012,Compliance with the Rotterdam Convention (%),
2013,Compliance with the Rotterdam Convention (%),
2014,Compliance with the Rotterdam Convention (%),
2015,Compliance with the Rotterdam Convention (%),100.0
2016,Compliance with the Rotterdam Convention (%),
2017,Compliance with the Rotterdam Convention (%),
2018,Compliance with the Rotterdam Convention (%),
2010,Compliance with the Stockholm Convention (%),
2011,Compliance with the Stockholm Convention (%),
2012,Compliance with the Stockholm Convention (%),
2013,Compliance with the Stockholm Convention (%),
2014,Compliance with the Stockholm Convention (%),
2015,Compliance with the Stockholm Convention (%),100.0
2016,Compliance with the Stockholm Convention (%),
2017,Compliance with the Stockholm Convention (%),
2018,Compliance with the Stockholm Convention (%),
