Year,timeseries,economic sector,Value
2010,water use efficiency (2010 = 100),"a) agriculture, forestry and fishing (nace rev 2, section a)",100.0
2013,water use efficiency (2010 = 100),"a) agriculture, forestry and fishing (nace rev 2, section a)",79.3
2016,water use efficiency (2010 = 100),"a) agriculture, forestry and fishing (nace rev 2, section a)",72.7
2010,water use efficiency (2010 = 100),"b) mimec (nace rev 2, sections b, c, d, f)",100.0
2013,water use efficiency (2010 = 100),"b) mimec (nace rev 2, sections b, c, d, f)",146.5
2016,water use efficiency (2010 = 100),"b) mimec (nace rev 2, sections b, c, d, f)",172.2
2010,water use efficiency (2010 = 100),"c) services (nace rev 2, sections e, g to t)",100.0
2013,water use efficiency (2010 = 100),"c) services (nace rev 2, sections e, g to t)",108.2
2016,water use efficiency (2010 = 100),"c) services (nace rev 2, sections e, g to t)",115.5
2010,water use efficiency (2010 = 100),,100.0
2013,water use efficiency (2010 = 100),,137.5
2016,water use efficiency (2010 = 100),,152.9
