Year,timeseries,Value
2010,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",52.6
2011,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",97.8
2012,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",71.9
2013,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",64.5
2014,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",65.1
2015,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",28.1
2016,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",25.0
2017,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",16.8
2010,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",591.9
2011,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",678.8
2012,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",589.6
2013,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",643.3
2014,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",855.6
2015,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",927.4
2016,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",923.3
2017,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",932.9
