Year,Units,level of proficiency,Value
2010,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2011,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2012,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,96.7
2013,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2014,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2015,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2016,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2017,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2018,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level i,
2010,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2011,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2012,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,82.5
2013,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2014,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2015,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2016,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2017,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2018,adult population achieving at least a fixed level of proficiency in functional a) literacy skills (%):,minimum requirement level ii,
2010,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2011,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2012,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,95.5
2013,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2014,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2015,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2016,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2017,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2018,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level i,
2010,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2011,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2012,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,81.6
2013,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2014,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2015,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2016,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2017,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
2018,adult population achieving at least a fixed level of proficiency in functional b) numeracy skills (%):,minimum requirement level ii,
