Year,Units,Value
2010,renewable energy share in gross final energy consumption (according to national definition) (%),11.4
2011,renewable energy share in gross final energy consumption (according to national definition) (%),12.4
2012,renewable energy share in gross final energy consumption (according to national definition) (%),13.6
2013,renewable energy share in gross final energy consumption (according to national definition) (%),13.8
2014,renewable energy share in gross final energy consumption (according to national definition) (%),14.3
2015,renewable energy share in gross final energy consumption (according to national definition) (%),15.1
2016,renewable energy share in gross final energy consumption (according to national definition) (%),14.8
2017,renewable energy share in gross final energy consumption (according to national definition) (%),15.9
2018,renewable energy share in gross final energy consumption (according to national definition) (%),16.7
2010,renewable energy share in total final energy consumption (according to un definition) (%),10.6
2011,renewable energy share in total final energy consumption (according to un definition) (%),11.5
2012,renewable energy share in total final energy consumption (according to un definition) (%),11.9
2013,renewable energy share in total final energy consumption (according to un definition) (%),12.0
2014,renewable energy share in total final energy consumption (according to un definition) (%),13.2
2015,renewable energy share in total final energy consumption (according to un definition) (%),14.0
2016,renewable energy share in total final energy consumption (according to un definition) (%),14.0
2017,renewable energy share in total final energy consumption (according to un definition) (%),
2018,renewable energy share in total final energy consumption (according to un definition) (%),
