Year,timeseries,items,Value
2010,material deprivation for the housing dimension (one to four items) (%),,17.1
2011,material deprivation for the housing dimension (one to four items) (%),,16.9
2012,material deprivation for the housing dimension (one to four items) (%),,16.6
2013,material deprivation for the housing dimension (one to four items) (%),,15.8
2014,material deprivation for the housing dimension (one to four items) (%),,15.2
2015,material deprivation for the housing dimension (one to four items) (%),,15.3
2016,material deprivation for the housing dimension (one to four items) (%),,15.4
2017,material deprivation for the housing dimension (one to four items) (%),,15.0
2018,material deprivation for the housing dimension (one to four items) (%),,16.0
2010,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.2
2011,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.1
2012,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,3.9
2013,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.4
2014,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.4
2015,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.0
2016,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,3.9
2017,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.0
2018,material deprivation for the housing dimension (one to four items) (%),population considering their dwelling as too dark,4.4
2010,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",12.0
2011,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",12.9
2012,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",12.5
2013,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",13.5
2014,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",13.1
2015,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",13.8
2016,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",14.1
2017,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",14.2
2018,material deprivation for the housing dimension (one to four items) (%),"population living in an area with crime, violence or vandalism",13.3
2010,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,25.7
2011,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,25.8
2012,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,26.1
2013,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,26.1
2014,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,25.9
2015,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,25.8
2016,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,25.1
2017,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,26.1
2018,material deprivation for the housing dimension (one to four items) (%),population living in an area with noise pollution,27.8
2010,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,13.3
2011,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,13.7
2012,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,13.5
2013,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,13.1
2014,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,12.3
2015,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,12.8
2016,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,13.1
2017,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,12.5
2018,material deprivation for the housing dimension (one to four items) (%),population living in households with moisture damages,13.4
