Year,timeseries,Value
2010,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",536.8
2011,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",1057.3
2012,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",896.1
2013,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",877.3
2014,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",1058.7
2015,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",1177.6
2016,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",1111.2
2017,"oda (commitments) for biodiversity (mn usd, constant prices (2016))",1744.8
2010,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",59.1
2011,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",55.4
2012,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",91.4
2013,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",83.7
2014,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",70.1
2015,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",70.0
2016,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",66.4
2017,"oda (gross disbursements) to the forestry sector (mn usd, constant prices (2016))",75.1
