Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Number,.,,,
2011,Number,.,,,
2012,Number,.,,,
2013,Number,.,,,
2014,Number,.,,,
2015,Number,.,,,
2016,Number,.,,,
2017,Number,.,,,
2018,Number,r,,,22965.0
2019,Number,r,,,22236.0
2020,Number,r,,,21994.0
2021,Number,r,,,22095.0
2022,Number,r,,,27757.0
2023,Number,r,,,28890.0
2024,Number,,,,30147.0
2010,"Per 100,000 female inhabitants",.,,,
2011,"Per 100,000 female inhabitants",.,,,
2012,"Per 100,000 female inhabitants",.,,,
2013,"Per 100,000 female inhabitants",.,,,
2014,"Per 100,000 female inhabitants",.,,,
2015,"Per 100,000 female inhabitants",.,,,
2016,"Per 100,000 female inhabitants",.,,,
2017,"Per 100,000 female inhabitants",.,,,
2018,"Per 100,000 female inhabitants",r,,,63.35
2019,"Per 100,000 female inhabitants",r,,,61.36
2020,"Per 100,000 female inhabitants",r,,,60.74
2021,"Per 100,000 female inhabitants",r,,,61.17
2022,"Per 100,000 female inhabitants",r,,,77.0
2023,"Per 100,000 female inhabitants",r,,,79.07
2024,"Per 100,000 female inhabitants",,,,82.31
2010,Percentage,.,,,
2011,Percentage,.,,,
2012,Percentage,.,,,
2013,Percentage,.,,,
2014,Percentage,.,,,
2015,Percentage,.,,,
2016,Percentage,.,,,
2017,Percentage,.,,,
2018,Percentage,r,,,0.06
2019,Percentage,r,,,0.06
2020,Percentage,r,,,0.06
2021,Percentage,r,,,0.06
2022,Percentage,r,,,0.08
2023,Percentage,r,,,0.08
2024,Percentage,,,,0.08
