Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,‒,,,At least one population and housing census in the last 10 years conducted,0
2011,,,,At least one population and housing census in the last 10 years conducted,1
2012,,,,At least one population and housing census in the last 10 years conducted,1
2013,,,,At least one population and housing census in the last 10 years conducted,1
2014,,,,At least one population and housing census in the last 10 years conducted,1
2015,,,,At least one population and housing census in the last 10 years conducted,1
2016,,,,At least one population and housing census in the last 10 years conducted,1
2017,,,,At least one population and housing census in the last 10 years conducted,1
2018,,,,At least one population and housing census in the last 10 years conducted,1
2019,,,,At least one population and housing census in the last 10 years conducted,1
2020,,,,At least one population and housing census in the last 10 years conducted,1
2021,‒,,,At least one population and housing census in the last 10 years conducted,0
2022,,,,At least one population and housing census in the last 10 years conducted,1
2023,,,,At least one population and housing census in the last 10 years conducted,1
2024,,,,At least one population and housing census in the last 10 years conducted,1
2025,,,,At least one population and housing census in the last 10 years conducted,1
2026,,,,At least one population and housing census in the last 10 years conducted,1
2010,,,,Birth registration,1
2011,,,,Birth registration,1
2012,,,,Birth registration,1
2013,,,,Birth registration,1
2014,,,,Birth registration,1
2015,,,,Birth registration,1
2016,,,,Birth registration,1
2017,,,,Birth registration,1
2018,,,,Birth registration,1
2019,,,,Birth registration,1
2020,,,,Birth registration,1
2021,,,,Birth registration,1
2022,,,,Birth registration,1
2023,,,,Birth registration,1
2024,,,,Birth registration,1
2025,,,,Birth registration,1
2026,,,,Birth registration,1
2010,,,,Death registration,1
2011,,,,Death registration,1
2012,,,,Death registration,1
2013,,,,Death registration,1
2014,,,,Death registration,1
2015,,,,Death registration,1
2016,,,,Death registration,1
2017,,,,Death registration,1
2018,,,,Death registration,1
2019,,,,Death registration,1
2020,,,,Death registration,1
2021,,,,Death registration,1
2022,,,,Death registration,1
2023,,,,Death registration,1
2024,,,,Death registration,1
2025,,,,Death registration,1
2026,,,,Death registration,1
