Year,Units,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,,.,,,change in water-use efficiency,
2011,percentage,,s,,,change in water-use efficiency,9.6
2012,percentage,,s,,,change in water-use efficiency,7.3
2013,percentage,,,,,change in water-use efficiency,7.9
2014,percentage,,s,,,change in water-use efficiency,5.7
2015,percentage,,s,,,change in water-use efficiency,4.8
2016,percentage,,,,,change in water-use efficiency,5.2
2017,percentage,,s,,,change in water-use efficiency,9.6
2018,percentage,,s,,,change in water-use efficiency,7.7
2019,percentage,,,,,change in water-use efficiency,9.5
2020,percentage,,s,,,change in water-use efficiency,2.1
2021,percentage,,s,,,change in water-use efficiency,12.4
2022,percentage,,,,,change in water-use efficiency,11.8
2010,percentage,"agriculture, forestry and fishing",.,,,change in water-use efficiency,
2011,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,30.6
2012,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,11.4
2013,percentage,"agriculture, forestry and fishing",,,,change in water-use efficiency,2.9
2014,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,6.5
2015,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,-10.5
2016,percentage,"agriculture, forestry and fishing",,,,change in water-use efficiency,11.9
2017,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,4.7
2018,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,-15.7
2019,percentage,"agriculture, forestry and fishing",,,,change in water-use efficiency,-16.0
2020,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,-36.6
2021,percentage,"agriculture, forestry and fishing",s,,,change in water-use efficiency,65.5
2022,percentage,"agriculture, forestry and fishing",,,,change in water-use efficiency,29.3
2010,percentage,mimec,.,,,change in water-use efficiency,
2011,percentage,mimec,s,,,change in water-use efficiency,13.4
2012,percentage,mimec,s,,,change in water-use efficiency,10.8
2013,percentage,mimec,,,,change in water-use efficiency,8.0
2014,percentage,mimec,s,,,change in water-use efficiency,6.2
2015,percentage,mimec,s,,,change in water-use efficiency,4.7
2016,percentage,mimec,,,,change in water-use efficiency,6.7
2017,percentage,mimec,s,,,change in water-use efficiency,11.4
2018,percentage,mimec,s,,,change in water-use efficiency,10.2
2019,percentage,mimec,,,,change in water-use efficiency,10.7
2020,percentage,mimec,s,,,change in water-use efficiency,1.4
2021,percentage,mimec,s,,,change in water-use efficiency,12.7
2022,percentage,mimec,,,,change in water-use efficiency,15.8
2010,percentage,services,.,,,change in water-use efficiency,
2011,percentage,services,s,,,change in water-use efficiency,4.5
2012,percentage,services,s,,,change in water-use efficiency,2.2
2013,percentage,services,,,,change in water-use efficiency,4.2
2014,percentage,services,s,,,change in water-use efficiency,5.6
2015,percentage,services,s,,,change in water-use efficiency,5.6
2016,percentage,services,,,,change in water-use efficiency,4.8
2017,percentage,services,s,,,change in water-use efficiency,7.1
2018,percentage,services,s,,,change in water-use efficiency,6.5
2019,percentage,services,,,,change in water-use efficiency,9.2
2020,percentage,services,s,,,change in water-use efficiency,0.2
2021,percentage,services,s,,,change in water-use efficiency,10.4
2022,percentage,services,,,,change in water-use efficiency,11.1
2010,euro per m³,,,,,water-use efficiency,64.0
2011,euro per m³,,s,,,water-use efficiency,70.2
2012,euro per m³,,s,,,water-use efficiency,75.3
2013,euro per m³,,,,,water-use efficiency,81.3
2014,euro per m³,,s,,,water-use efficiency,85.9
2015,euro per m³,,s,,,water-use efficiency,90.0
2016,euro per m³,,,,,water-use efficiency,94.7
2017,euro per m³,,s,,,water-use efficiency,103.8
2018,euro per m³,,s,,,water-use efficiency,111.9
2019,euro per m³,,,,,water-use efficiency,122.5
2020,euro per m³,,s,,,water-use efficiency,125.0
2021,euro per m³,,s,,,water-use efficiency,140.5
2022,euro per m³,,,,,water-use efficiency,157.1
2010,euro per m³,"agriculture, forestry and fishing",,,,water-use efficiency,3.4
2011,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,4.5
2012,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,5.0
2013,euro per m³,"agriculture, forestry and fishing",,,,water-use efficiency,5.1
2014,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,5.5
2015,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,4.9
2016,euro per m³,"agriculture, forestry and fishing",,,,water-use efficiency,5.5
2017,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,5.7
2018,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,4.8
2019,euro per m³,"agriculture, forestry and fishing",,,,water-use efficiency,4.1
2020,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,2.6
2021,euro per m³,"agriculture, forestry and fishing",s,,,water-use efficiency,4.3
2022,euro per m³,"agriculture, forestry and fishing",,,,water-use efficiency,5.5
2010,euro per m³,mimec,,,,water-use efficiency,25.6
2011,euro per m³,mimec,s,,,water-use efficiency,29.0
2012,euro per m³,mimec,s,,,water-use efficiency,32.1
2013,euro per m³,mimec,,,,water-use efficiency,34.7
2014,euro per m³,mimec,s,,,water-use efficiency,36.8
2015,euro per m³,mimec,s,,,water-use efficiency,38.5
2016,euro per m³,mimec,,,,water-use efficiency,41.1
2017,euro per m³,mimec,s,,,water-use efficiency,45.8
2018,euro per m³,mimec,s,,,water-use efficiency,50.4
2019,euro per m³,mimec,,,,water-use efficiency,55.9
2020,euro per m³,mimec,s,,,water-use efficiency,56.6
2021,euro per m³,mimec,s,,,water-use efficiency,63.8
2022,euro per m³,mimec,,,,water-use efficiency,73.9
2010,euro per m³,services,,,,water-use efficiency,289.6
2011,euro per m³,services,s,,,water-use efficiency,302.8
2012,euro per m³,services,s,,,water-use efficiency,309.4
2013,euro per m³,services,,,,water-use efficiency,322.4
2014,euro per m³,services,s,,,water-use efficiency,340.4
2015,euro per m³,services,s,,,water-use efficiency,359.4
2016,euro per m³,services,,,,water-use efficiency,376.7
2017,euro per m³,services,s,,,water-use efficiency,403.5
2018,euro per m³,services,s,,,water-use efficiency,429.6
2019,euro per m³,services,,,,water-use efficiency,469.1
2020,euro per m³,services,s,,,water-use efficiency,470.0
2021,euro per m³,services,s,,,water-use efficiency,518.9
2022,euro per m³,services,,,,water-use efficiency,576.4
