Year,Bevölkerung,Value
2010,Gesamtbevölkerung,1.9
2011,Gesamtbevölkerung,-0.4
2012,Gesamtbevölkerung,2.0
2013,Gesamtbevölkerung,2.4
2014,Gesamtbevölkerung,0.7
2015,Gesamtbevölkerung,4.4
2016,Gesamtbevölkerung,1.9
2017,Gesamtbevölkerung,3.1
2018,Gesamtbevölkerung,4.7
2019,Gesamtbevölkerung,1.3
2020,Gesamtbevölkerung,13.2
2021,Gesamtbevölkerung,-2.1
2022,Gesamtbevölkerung,-2.2
2023,Gesamtbevölkerung,5.9
2010,Ärmsten 40 Prozent der Bevölkerung,2.4
2011,Ärmsten 40 Prozent der Bevölkerung,-1.0
2012,Ärmsten 40 Prozent der Bevölkerung,3.8
2013,Ärmsten 40 Prozent der Bevölkerung,1.1
2014,Ärmsten 40 Prozent der Bevölkerung,-2.0
2015,Ärmsten 40 Prozent der Bevölkerung,5.5
2016,Ärmsten 40 Prozent der Bevölkerung,3.1
2017,Ärmsten 40 Prozent der Bevölkerung,4.4
2018,Ärmsten 40 Prozent der Bevölkerung,3.3
2019,Ärmsten 40 Prozent der Bevölkerung,4.6
2020,Ärmsten 40 Prozent der Bevölkerung,8.3
2021,Ärmsten 40 Prozent der Bevölkerung,-4.9
2022,Ärmsten 40 Prozent der Bevölkerung,2.5
2023,Ärmsten 40 Prozent der Bevölkerung,6.2
