Year,economic activity,COMMENT_OBS_0,Value
2010,agriculture,r,91.5
2011,agriculture,r,92.0
2012,agriculture,r,90.6
2013,agriculture,r,89.2
2014,agriculture,r,101.0
2015,agriculture,r,85.9
2016,agriculture,r,90.6
2017,agriculture,r,98.2
2018,agriculture,r,80.8
2019,agriculture,r,94.0
2020,agriculture,,100.0
2021,agriculture,p,115.7
2022,agriculture,p,115.3
2010,forestry,r,106.9
2011,forestry,r,134.7
2012,forestry,r,153.7
2013,forestry,r,155.5
2014,forestry,r,161.8
2015,forestry,r,167.8
2016,forestry,r,181.5
2017,forestry,r,182.0
2018,forestry,r,209.3
2019,forestry,r,171.4
2020,forestry,,100.0
2021,forestry,p,124.0
2022,forestry,p,177.0
