Year,Units,Zeitreihe,Darstellung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,x,,,
2011,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,6.845
2012,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,2.01
2013,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,1.565
2014,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,1.153
2015,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,0.293
2016,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,|,,,0.91
2017,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,1.553
2018,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,2.317
2019,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,1.859
2020,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,x,,,
2021,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,4.248
2022,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,x,,,
2023,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,1.099
2024,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,2.719
2010,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,99.587
2011,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.353
2012,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.599
2013,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.77
2014,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.85
2015,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.0
2016,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,|,,,99.962
2017,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.142
2018,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.501
2019,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,100.654
2020,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,101.097
2021,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,101.42
2022,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,101.881
2023,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,101.921
2024,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,102.175
2010,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.591
2011,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.902
2012,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.489
2013,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.473
2014,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.612
2015,Prozent,Flächennutzungssrate,Jährliche Werte,r,,,0.351
2016,Prozent,Flächennutzungssrate,Jährliche Werte,|,,,0.382
2017,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.509
2018,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.634
2019,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.33
2020,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.426
2021,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.419
2022,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.312
2023,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.445
2024,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.394
2010,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,-0.154
2011,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.132
2012,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.244
2013,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.302
2014,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.531
2015,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,1.197
2016,Prozent,Bevölkerungsentwicklung,Jährliche Werte,|,,,0.42
2017,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.327
2018,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.274
2019,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.178
2020,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,-0.014
2021,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.099
2022,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,-0.143
2023,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.405
2024,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.145
2010,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,
2011,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,
