Year,Anteil der Haushaltsausgaben für Gesundheit,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2003,Größer 10 %,,,,5.15
2004,Größer 10 %,,,,
2005,Größer 10 %,,,,
2006,Größer 10 %,,,,
2007,Größer 10 %,,,,
2008,Größer 10 %,,,,4.85
2009,Größer 10 %,,,,
2010,Größer 10 %,.,,,
2011,Größer 10 %,.,,,
2012,Größer 10 %,.,,,
2013,Größer 10 %,,,,4.36
2014,Größer 10 %,.,,,
2015,Größer 10 %,.,,,
2016,Größer 10 %,.,,,
2017,Größer 10 %,.,,,
2018,Größer 10 %,,,,4.48
2003,Größer 25 %,,,,0.91
2004,Größer 25 %,,,,
2005,Größer 25 %,,,,
2006,Größer 25 %,,,,
2007,Größer 25 %,,,,
2008,Größer 25 %,,,,0.84
2009,Größer 25 %,,,,
2010,Größer 25 %,.,,,
2011,Größer 25 %,.,,,
2012,Größer 25 %,.,,,
2013,Größer 25 %,,,,0.75
2014,Größer 25 %,.,,,
2015,Größer 25 %,.,,,
2016,Größer 25 %,.,,,
2017,Größer 25 %,.,,,
2018,Größer 25 %,,,,0.85
