Year,timeseries,Value
2010,marine key biodiversity areas (kbas) covered by protected areas (%),89
2011,marine key biodiversity areas (kbas) covered by protected areas (%),89
2012,marine key biodiversity areas (kbas) covered by protected areas (%),89
2013,marine key biodiversity areas (kbas) covered by protected areas (%),89
2014,marine key biodiversity areas (kbas) covered by protected areas (%),89
2015,marine key biodiversity areas (kbas) covered by protected areas (%),89
2016,marine key biodiversity areas (kbas) covered by protected areas (%),89
2017,marine key biodiversity areas (kbas) covered by protected areas (%),89
2018,marine key biodiversity areas (kbas) covered by protected areas (%),89
2019,marine key biodiversity areas (kbas) covered by protected areas (%),89
2020,marine key biodiversity areas (kbas) covered by protected areas (%),89
2010,protected marine area (%),45
2011,protected marine area (%),45
2012,protected marine area (%),45
2013,protected marine area (%),45
2014,protected marine area (%),45
2015,protected marine area (%),45
2016,protected marine area (%),45
2017,protected marine area (%),45
2018,protected marine area (%),45
2019,protected marine area (%),45
2020,protected marine area (%),45
