Year,Units,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,,,,3345.1
2011,Millionen EUR,Zusagen,,,,2681.9
2012,Millionen EUR,Zusagen,,,,2591.8
2013,Millionen EUR,Zusagen,,,,3778.8
2014,Millionen EUR,Zusagen,,,,5803.2
2015,Millionen EUR,Zusagen,,,,5074.6
2016,Millionen EUR,Zusagen,,,,5323.7
2017,Millionen EUR,Zusagen,,,,5053.4
2018,Millionen EUR,Zusagen,,,,5160.6
2019,Millionen EUR,Zusagen,,,,6063.6
2020,Millionen EUR,Zusagen,,,,6911.9
2021,Millionen EUR,Zusagen,,,,6205.6
2022,Millionen EUR,Zusagen,,,,7684.0
2023,Millionen EUR,Zusagen,,,,6306.5
2024,Millionen EUR,Zusagen,,,,4252.3
2010,Millionen EUR,Bruttoauszahlungen,,,,2280.2
2011,Millionen EUR,Bruttoauszahlungen,,,,2198.3
2012,Millionen EUR,Bruttoauszahlungen,,,,1922.8
2013,Millionen EUR,Bruttoauszahlungen,,,,2589.4
2014,Millionen EUR,Bruttoauszahlungen,,,,3438.9
2015,Millionen EUR,Bruttoauszahlungen,,,,4476.5
2016,Millionen EUR,Bruttoauszahlungen,,,,4030.8
2017,Millionen EUR,Bruttoauszahlungen,,,,4011.8
2018,Millionen EUR,Bruttoauszahlungen,,,,3951.5
2019,Millionen EUR,Bruttoauszahlungen,,,,4389.7
2020,Millionen EUR,Bruttoauszahlungen,,,,5039.1
2021,Millionen EUR,Bruttoauszahlungen,,,,4945.3
2022,Millionen EUR,Bruttoauszahlungen,,,,6285.3
2023,Millionen EUR,Bruttoauszahlungen,,,,5254.2
2024,Millionen EUR,Bruttoauszahlungen,,,,5022.7
2010,"Millionen USD, konstante Preise (2024)",Zusagen,,,,5131.6
2011,"Millionen USD, konstante Preise (2024)",Zusagen,,,,4064.1
2012,"Millionen USD, konstante Preise (2024)",Zusagen,,,,3872.1
2013,"Millionen USD, konstante Preise (2024)",Zusagen,,,,5534.9
2014,"Millionen USD, konstante Preise (2024)",Zusagen,,,,8341.8
2015,"Millionen USD, konstante Preise (2024)",Zusagen,,,,7169.5
2016,"Millionen USD, konstante Preise (2024)",Zusagen,,,,7427.8
2017,"Millionen USD, konstante Preise (2024)",Zusagen,,,,6948.5
2018,"Millionen USD, konstante Preise (2024)",Zusagen,,,,6965.3
2019,"Millionen USD, konstante Preise (2024)",Zusagen,,,,8022.7
2020,"Millionen USD, konstante Preise (2024)",Zusagen,,,,8987.5
2021,"Millionen USD, konstante Preise (2024)",Zusagen,,,,7857.7
2022,"Millionen USD, konstante Preise (2024)",Zusagen,,,,9142.6
2023,"Millionen USD, konstante Preise (2024)",Zusagen,,,,7032.8
2024,"Millionen USD, konstante Preise (2024)",Zusagen,,,,4599.1
2010,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,3498.0
2011,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,3331.2
2012,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2872.6
2013,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,3792.7
2014,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,4943.2
2015,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,6324.6
2016,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5623.8
2017,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5516.2
2018,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5333.5
2019,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5807.9
2020,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,6552.4
2021,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,6261.9
2022,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,7478.4
2023,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5859.3
2024,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5432.3
