Year,sex,age group,feelings of insecurity,Series,Value
2012,,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),41.6
2017,,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),36.7
2020,,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),25.8
2012,,,safe,feeling of (in)security of the population in its neighbourhood (after dark),41.3
2017,,,safe,feeling of (in)security of the population in its neighbourhood (after dark),41.9
2020,,,safe,feeling of (in)security of the population in its neighbourhood (after dark),46.3
2012,,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),12.4
2017,,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),15.2
2020,,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),22.2
2012,,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),4.7
2017,,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),6.3
2020,,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.7
2012,female,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),54.7
2017,female,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),24.4
2020,female,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),15.8
2012,female,,safe,feeling of (in)security of the population in its neighbourhood (after dark),37.3
2017,female,,safe,feeling of (in)security of the population in its neighbourhood (after dark),43.7
2020,female,,safe,feeling of (in)security of the population in its neighbourhood (after dark),45.5
2012,female,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),6.1
2017,female,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),22.0
2020,female,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),30.1
2012,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),1.9
2017,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),9.9
2020,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),8.6
2012,male,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),29.0
2017,male,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),49.4
2020,male,,very safe,feeling of (in)security of the population in its neighbourhood (after dark),36.2
2012,male,,safe,feeling of (in)security of the population in its neighbourhood (after dark),45.1
2017,male,,safe,feeling of (in)security of the population in its neighbourhood (after dark),40.0
2020,male,,safe,feeling of (in)security of the population in its neighbourhood (after dark),47.1
2012,male,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),18.4
2017,male,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),8.1
2020,male,,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),14.0
2012,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),7.4
2017,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),2.6
2020,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),2.7
2012,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),40.3
2017,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),38.8
2020,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),32.5
2012,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),39.2
2017,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),40.7
2020,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),38.2
2012,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),15.1
2017,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),15.0
2020,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),20.9
2012,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.4
2017,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.5
2020,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),8.3
2012,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),43.6
2017,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),39.2
2020,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),32.3
2012,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),43.2
2017,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),42.9
2020,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),43.0
2012,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),9.4
2017,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),12.9
2020,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),19.2
2012,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),3.8
2017,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.0
2020,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.4
2012,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),46.7
2017,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),40.1
2020,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),31.3
2012,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),41.7
2017,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),41.4
2020,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),45.5
2012,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),8.6
2017,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),13.3
2020,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),18.9
2012,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),3.1
2017,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.2
