Year,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,80
2011,,,,,,81
2012,,,,,,82
2013,,,,,,84
2014,,,,,,86
2015,,,,,,88
2016,,,,,,90
2017,,,,,,90
2018,,,,,,92
2019,,,,,,93
2020,,,,,,94
2021,,,|,,,91
2022,,,,,,92
2023,,,,,,92
2024,,,,,,94
2010,,female,,,,76
2011,,female,,,,78
2012,,female,,,,79
2013,,female,,,,81
2014,,female,,,,84
2015,,female,,,,85
2016,,female,,,,88
2017,,female,,,,89
2018,,female,,,,91
2019,,female,,,,92
2020,,female,,,,93
2021,,female,|,,,91
2022,,female,,,,90
2023,,female,,,,91
2024,,female,,,,93
2010,,male,,,,84
2011,,male,,,,84
2012,,male,,,,85
2013,,male,,,,87
2014,,male,,,,89
2015,,male,,,,90
2016,,male,,,,91
2017,,male,,,,92
2018,,male,,,,94
2019,,male,,,,94
2020,,male,,,,95
2021,,male,|,,,92
2022,,male,,,,93
2023,,male,,,,93
2024,,male,,,,94
2010,16 to under 25 years,,,,,98
2011,16 to under 25 years,,,,,99
2012,16 to under 25 years,,,,,98
2013,16 to under 25 years,,,,,98
2014,16 to under 25 years,,,,,99
2015,16 to under 25 years,,,,,99
2016,16 to under 25 years,,,,,99
2017,16 to under 25 years,,,,,99
2018,16 to under 25 years,,,,,99
2019,16 to under 25 years,,,,,99
2020,16 to under 25 years,,,,,99
2021,16 to under 25 years,,|,,,98
2022,16 to under 25 years,,,,,96
2023,16 to under 25 years,,,,,97
2024,16 to under 25 years,,,,,97
2010,25 to under 65 years,,,,,85
2011,25 to under 65 years,,,,,87
2012,25 to under 65 years,,,,,88
2013,25 to under 65 years,,,,,89
2014,25 to under 65 years,,,,,91
2015,25 to under 65 years,,,,,92
2016,25 to under 65 years,,,,,93
2017,25 to under 65 years,,,,,93
2018,25 to under 65 years,,,,,95
2019,25 to under 65 years,,,,,96
2020,25 to under 65 years,,,,,97
2021,25 to under 65 years,,|,,,94
2022,25 to under 65 years,,,,,94
2023,25 to under 65 years,,,,,95
2024,25 to under 65 years,,,,,95
2010,65 to under 75 years,,,,,41
2011,65 to under 75 years,,,,,41
2012,65 to under 75 years,,,,,43
2013,65 to under 75 years,,,,,50
2014,65 to under 75 years,,,,,53
2015,65 to under 75 years,,,,,56
2016,65 to under 75 years,,,,,62
2017,65 to under 75 years,,,,,64
2018,65 to under 75 years,,,,,71
2019,65 to under 75 years,,,,,72
2020,65 to under 75 years,,,,,76
2021,65 to under 75 years,,|,,,74
2022,65 to under 75 years,,,,,77
2023,65 to under 75 years,,,,,79
2024,65 to under 75 years,,,,,83
