Year,Bildungsstand,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Sekundarstufe I (ISCED-Stufe 2),,,,,93.9
2011,Sekundarstufe I (ISCED-Stufe 2),,,,,92.8
2012,Sekundarstufe I (ISCED-Stufe 2),,,,,93.1
2013,Sekundarstufe I (ISCED-Stufe 2),,,,,93.5
2014,Sekundarstufe I (ISCED-Stufe 2),,,,,93.8
2015,Sekundarstufe I (ISCED-Stufe 2),,,,,93.5
2016,Sekundarstufe I (ISCED-Stufe 2),,.,,,
2017,Sekundarstufe I (ISCED-Stufe 2),,.,,,
2018,Sekundarstufe I (ISCED-Stufe 2),,,,,92.8
2019,Sekundarstufe I (ISCED-Stufe 2),,,,,92.9
2020,Sekundarstufe I (ISCED-Stufe 2),,|,,,93.0
2021,Sekundarstufe I (ISCED-Stufe 2),,r,,,91.9
2022,Sekundarstufe I (ISCED-Stufe 2),,r,,,90.9
2023,Sekundarstufe I (ISCED-Stufe 2),,,,,90.5
2024,Sekundarstufe I (ISCED-Stufe 2),,p,,,90.0
2010,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,94.6
2011,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,93.5
2012,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,93.8
2013,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,93.9
2014,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,94.2
2015,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,94.2
2016,Sekundarstufe I (ISCED-Stufe 2),Weiblich,.,,,
2017,Sekundarstufe I (ISCED-Stufe 2),Weiblich,.,,,
2018,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,93.7
2019,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,93.8
2020,Sekundarstufe I (ISCED-Stufe 2),Weiblich,|,,,94.6
2021,Sekundarstufe I (ISCED-Stufe 2),Weiblich,r,,,93.0
2022,Sekundarstufe I (ISCED-Stufe 2),Weiblich,r,,,91.9
2023,Sekundarstufe I (ISCED-Stufe 2),Weiblich,,,,91.7
2024,Sekundarstufe I (ISCED-Stufe 2),Weiblich,p,,,91.6
2010,Sekundarstufe I (ISCED-Stufe 2),Männlich,,,,93.3
