Year,Proportion of household expenditures on health,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2003,Greater 10 %,,,,5.15
2004,Greater 10 %,,,,
2005,Greater 10 %,,,,
2006,Greater 10 %,,,,
2007,Greater 10 %,,,,
2008,Greater 10 %,,,,4.85
2009,Greater 10 %,,,,
2010,Greater 10 %,.,,,
2011,Greater 10 %,.,,,
2012,Greater 10 %,.,,,
2013,Greater 10 %,,,,4.36
2014,Greater 10 %,.,,,
2015,Greater 10 %,.,,,
2016,Greater 10 %,.,,,
2017,Greater 10 %,.,,,
2018,Greater 10 %,,,,4.48
2003,Greater 25 %,,,,0.91
2004,Greater 25 %,,,,
2005,Greater 25 %,,,,
2006,Greater 25 %,,,,
2007,Greater 25 %,,,,
2008,Greater 25 %,,,,0.84
2009,Greater 25 %,,,,
2010,Greater 25 %,.,,,
2011,Greater 25 %,.,,,
2012,Greater 25 %,.,,,
2013,Greater 25 %,,,,0.75
2014,Greater 25 %,.,,,
2015,Greater 25 %,.,,,
2016,Greater 25 %,.,,,
2017,Greater 25 %,.,,,
2018,Greater 25 %,,,,0.85
