Year,Units,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,,,,668.083
2011,Millionen EUR,Zusagen,,,,823.082
2012,Millionen EUR,Zusagen,,,,1088.977
2013,Millionen EUR,Zusagen,,,,851.035
2014,Millionen EUR,Zusagen,,,,937.185
2015,Millionen EUR,Zusagen,,,,864.022
2016,Millionen EUR,Zusagen,,,,606.119
2017,Millionen EUR,Zusagen,,,,1342.039
2018,Millionen EUR,Zusagen,,,,1450.388
2019,Millionen EUR,Zusagen,,,,1430.158
2020,Millionen EUR,Zusagen,,,,1144.416
2021,Millionen EUR,Zusagen,,,,1108.705
2022,Millionen EUR,Zusagen,,,,1499.012
2023,Millionen EUR,Zusagen,,,,757.125
2024,Millionen EUR,Zusagen,,,,1417.545
2010,Millionen EUR,Bruttoauszahlungen,,,,486.112
2011,Millionen EUR,Bruttoauszahlungen,,,,563.478
2012,Millionen EUR,Bruttoauszahlungen,,,,496.972
2013,Millionen EUR,Bruttoauszahlungen,,,,552.891
2014,Millionen EUR,Bruttoauszahlungen,,,,748.529
2015,Millionen EUR,Bruttoauszahlungen,,,,827.553
2016,Millionen EUR,Bruttoauszahlungen,,,,834.984
2017,Millionen EUR,Bruttoauszahlungen,,,,856.627
2018,Millionen EUR,Bruttoauszahlungen,,,,894.85
2019,Millionen EUR,Bruttoauszahlungen,,,,822.974
2020,Millionen EUR,Bruttoauszahlungen,,,,874.244
2021,Millionen EUR,Bruttoauszahlungen,,,,771.803
2022,Millionen EUR,Bruttoauszahlungen,,,,815.596
2023,Millionen EUR,Bruttoauszahlungen,,,,932.932
2024,Millionen EUR,Bruttoauszahlungen,,,,1340.968
2010,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1024.884
2011,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1247.3
2012,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1626.893
2013,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1246.525
2014,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1347.16
2015,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1220.71
2016,"Millionen USD, konstante Preise (2024)",Zusagen,,,,845.674
2017,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1845.298
2018,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1957.629
2019,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1892.226
2020,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1488.085
2021,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1403.873
2022,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1783.565
2023,"Millionen USD, konstante Preise (2024)",Zusagen,,,,844.317
2024,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1533.145
2010,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,745.728
2011,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,853.896
2012,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,742.459
2013,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,809.829
2014,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1075.975
2015,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1169.186
2016,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1164.993
2017,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1177.858
2018,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1207.805
2019,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1088.868
2020,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1136.78
2021,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,977.278
2022,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,970.418
2023,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1040.37
2024,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1450.322
