Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,‒,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,0
2011,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2012,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2013,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2014,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2015,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2016,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2017,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2018,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2019,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2020,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2021,‒,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,0
2022,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2023,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2024,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2025,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2010,s,,,Registrierung der Geburten,1
2011,s,,,Registrierung der Geburten,1
2012,s,,,Registrierung der Geburten,1
2013,s,,,Registrierung der Geburten,1
2014,s,,,Registrierung der Geburten,1
2015,s,,,Registrierung der Geburten,1
2016,s,,,Registrierung der Geburten,1
2017,s,,,Registrierung der Geburten,1
2018,s,,,Registrierung der Geburten,1
2019,s,,,Registrierung der Geburten,1
2020,s,,,Registrierung der Geburten,1
2021,s,,,Registrierung der Geburten,1
2022,s,,,Registrierung der Geburten,1
2023,s,,,Registrierung der Geburten,1
2024,s,,,Registrierung der Geburten,1
2025,s,,,Registrierung der Geburten,1
2010,s,,,Registrierung der Sterbefälle,1
2011,s,,,Registrierung der Sterbefälle,1
2012,s,,,Registrierung der Sterbefälle,1
2013,s,,,Registrierung der Sterbefälle,1
2014,s,,,Registrierung der Sterbefälle,1
2015,s,,,Registrierung der Sterbefälle,1
2016,s,,,Registrierung der Sterbefälle,1
2017,s,,,Registrierung der Sterbefälle,1
2018,s,,,Registrierung der Sterbefälle,1
2019,s,,,Registrierung der Sterbefälle,1
2020,s,,,Registrierung der Sterbefälle,1
2021,s,,,Registrierung der Sterbefälle,1
2022,s,,,Registrierung der Sterbefälle,1
2023,s,,,Registrierung der Sterbefälle,1
2024,s,,,Registrierung der Sterbefälle,1
2025,s,,,Registrierung der Sterbefälle,1
