Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1256.0
2011,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1369.0
2012,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1290.0
2013,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1289.0
2014,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1302.0
2015,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1250.0
2016,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1286.0
2017,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1328.0
2018,Millionen Tonnen,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1342.0
2019,Millionen Tonnen,,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1327.0
2020,Millionen Tonnen,,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1268.0
2021,Millionen Tonnen,,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1277.0
2010,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.4
2011,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),17.0
2012,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.0
2013,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.0
2014,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.0
2015,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.2
2016,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.6
2017,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.0
2018,Tonnen pro Kopf,r,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.2
2019,Tonnen pro Kopf,,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.0
2020,Tonnen pro Kopf,,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.3
2021,Tonnen pro Kopf,,,,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.3
2010,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,110.8
2011,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,116.4
2012,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,109.1
2013,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,108.6
2014,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,107.4
2015,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,101.4
2016,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,102.0
2017,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,102.6
2018,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,102.5
2019,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,100.4
2020,2020 = 100,,,,Inländische Rohstoffverwendung pro realem BIP,100.0
2021,2020 = 100,p,,,Inländische Rohstoffverwendung pro realem BIP,97.1
