Year,Units,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,14 Jahre und jünger,‒,,,0.0
2011,Prozent,14 Jahre und jünger,‒,,,0.0
2012,Prozent,14 Jahre und jünger,‒,,,0.0
2013,Prozent,14 Jahre und jünger,‒,,,0.0
2014,Prozent,14 Jahre und jünger,‒,,,0.0
2015,Prozent,14 Jahre und jünger,‒,,,0.0
2016,Prozent,14 Jahre und jünger,‒,,,0.0
2017,Prozent,14 Jahre und jünger,‒,,,0.0
2018,Prozent,14 Jahre und jünger,‒,,,0.0
2019,Prozent,14 Jahre und jünger,‒,,,0.0
2020,Prozent,14 Jahre und jünger,0,,,0.0
2021,Prozent,14 Jahre und jünger,‒,,,0.0
2022,Prozent,14 Jahre und jünger,0,,,0.0
2023,Prozent,14 Jahre und jünger,‒,,,0.0
2010,Prozent,17 Jahre und jünger,0,,,0.0
2011,Prozent,17 Jahre und jünger,0,,,0.0
2012,Prozent,17 Jahre und jünger,0,,,0.0
2013,Prozent,17 Jahre und jünger,0,,,0.0
2014,Prozent,17 Jahre und jünger,0,,,0.0
2015,Prozent,17 Jahre und jünger,0,,,0.0
2016,Prozent,17 Jahre und jünger,0,,,0.0
2017,Prozent,17 Jahre und jünger,0,,,0.0
2018,Prozent,17 Jahre und jünger,0,,,0.0
2019,Prozent,17 Jahre und jünger,0,,,0.0
2020,Prozent,17 Jahre und jünger,0,,,0.0
2021,Prozent,17 Jahre und jünger,0,,,0.0
2022,Prozent,17 Jahre und jünger,0,,,0.0
2023,Prozent,17 Jahre und jünger,0,,,0.0
2010,Anzahl,17 Jahre und jünger,,,,225.0
2011,Anzahl,17 Jahre und jünger,,,,213.0
2012,Anzahl,17 Jahre und jünger,,,,214.0
2013,Anzahl,17 Jahre und jünger,,,,256.0
2014,Anzahl,17 Jahre und jünger,,,,321.0
2015,Anzahl,17 Jahre und jünger,,,,880.0
2016,Anzahl,17 Jahre und jünger,,,,700.0
2017,Anzahl,17 Jahre und jünger,,,,318.0
2018,Anzahl,17 Jahre und jünger,,,,143.0
2019,Anzahl,17 Jahre und jünger,,,,90.0
2020,Anzahl,17 Jahre und jünger,,,,73.0
2021,Anzahl,17 Jahre und jünger,,,,67.0
2022,Anzahl,17 Jahre und jünger,,,,65.0
2023,Anzahl,17 Jahre und jünger,,,,
