Year,Units,Purpose,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Scholarships,Commitments,,,,134.336
2011,Million EUR,Scholarships,Commitments,,,,129.642
2012,Million EUR,Scholarships,Commitments,,,,116.643
2013,Million EUR,Scholarships,Commitments,,,,100.763
2014,Million EUR,Scholarships,Commitments,,,,64.74
2015,Million EUR,Scholarships,Commitments,,,,85.092
2016,Million EUR,Scholarships,Commitments,,,,75.084
2017,Million EUR,Scholarships,Commitments,,,,63.658
2018,Million EUR,Scholarships,Commitments,,,,65.25
2019,Million EUR,Scholarships,Commitments,,,,67.675
2020,Million EUR,Scholarships,Commitments,,,,70.268
2021,Million EUR,Scholarships,Commitments,,,,45.284
2022,Million EUR,Scholarships,Commitments,,,,28.668
2023,Million EUR,Scholarships,Commitments,,,,17.728
2024,Million EUR,Scholarships,Commitments,,,,17.614
2010,Million EUR,Imputed student costs,Commitments,,,,669.645
2011,Million EUR,Imputed student costs,Commitments,,,,665.131
2012,Million EUR,Imputed student costs,Commitments,,,,690.405
2013,Million EUR,Imputed student costs,Commitments,,,,670.771
2014,Million EUR,Imputed student costs,Commitments,,,,739.829
2015,Million EUR,Imputed student costs,Commitments,,,,845.527
2016,Million EUR,Imputed student costs,Commitments,,,,904.583
2017,Million EUR,Imputed student costs,Commitments,,,,998.585
2018,Million EUR,Imputed student costs,Commitments,,,,1121.055
2019,Million EUR,Imputed student costs,Commitments,,,,1318.333
2020,Million EUR,Imputed student costs,Commitments,,,,1488.856
2021,Million EUR,Imputed student costs,Commitments,,,,1669.123
2022,Million EUR,Imputed student costs,Commitments,,,,1779.444
2023,Million EUR,Imputed student costs,Commitments,,,,1980.449
2024,Million EUR,Imputed student costs,Commitments,,,,2196.572
2010,Million EUR,Scholarships,Gross disbursements,,,,130.229
2011,Million EUR,Scholarships,Gross disbursements,,,,120.753
2012,Million EUR,Scholarships,Gross disbursements,,,,113.189
2013,Million EUR,Scholarships,Gross disbursements,,,,96.087
2014,Million EUR,Scholarships,Gross disbursements,,,,57.268
2015,Million EUR,Scholarships,Gross disbursements,,,,82.565
2016,Million EUR,Scholarships,Gross disbursements,,,,74.676
2017,Million EUR,Scholarships,Gross disbursements,,,,68.291
2018,Million EUR,Scholarships,Gross disbursements,,,,65.998
2019,Million EUR,Scholarships,Gross disbursements,,,,65.952
2020,Million EUR,Scholarships,Gross disbursements,,,,72.176
2021,Million EUR,Scholarships,Gross disbursements,,,,41.849
2022,Million EUR,Scholarships,Gross disbursements,,,,21.146
2023,Million EUR,Scholarships,Gross disbursements,,,,16.15
2024,Million EUR,Scholarships,Gross disbursements,,,,18.603
2010,Million EUR,Imputed student costs,Gross disbursements,,,,669.645
2011,Million EUR,Imputed student costs,Gross disbursements,,,,665.131
2012,Million EUR,Imputed student costs,Gross disbursements,,,,690.405
2013,Million EUR,Imputed student costs,Gross disbursements,,,,670.771
2014,Million EUR,Imputed student costs,Gross disbursements,,,,739.829
2015,Million EUR,Imputed student costs,Gross disbursements,,,,845.527
2016,Million EUR,Imputed student costs,Gross disbursements,,,,904.583
2017,Million EUR,Imputed student costs,Gross disbursements,,,,998.585
2018,Million EUR,Imputed student costs,Gross disbursements,,,,1121.055
2019,Million EUR,Imputed student costs,Gross disbursements,,,,1318.333
2020,Million EUR,Imputed student costs,Gross disbursements,,,,1488.856
2021,Million EUR,Imputed student costs,Gross disbursements,,,,1669.123
2022,Million EUR,Imputed student costs,Gross disbursements,,,,1779.444
2023,Million EUR,Imputed student costs,Gross disbursements,,,,1980.449
2024,Million EUR,Imputed student costs,Gross disbursements,,,,2196.572
2010,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,206.08
2011,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,196.46
2012,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,174.26
2013,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,147.59
2014,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,93.06
2015,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,120.22
2016,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,104.76
2017,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,87.53
