Year,substance,bound,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,drugs,,,,,,inpatient treatment of substance use disorders,37107
2011,drugs,,,,,,inpatient treatment of substance use disorders,36848
2012,drugs,,,,,,inpatient treatment of substance use disorders,36166
2013,drugs,,,,,,inpatient treatment of substance use disorders,40556
2014,drugs,,,,,,inpatient treatment of substance use disorders,49795
2015,drugs,,,,,,inpatient treatment of substance use disorders,51919
2016,drugs,,,,,,inpatient treatment of substance use disorders,52621
2017,drugs,,,,,,inpatient treatment of substance use disorders,51806
2018,drugs,,,,,,inpatient treatment of substance use disorders,52380
2019,drugs,,,,,,inpatient treatment of substance use disorders,53490
2020,drugs,,,,,,inpatient treatment of substance use disorders,47082
2021,drugs,,,,,,inpatient treatment of substance use disorders,46736
2022,drugs,,,,,,inpatient treatment of substance use disorders,45447
2010,drugs,,female,,,,inpatient treatment of substance use disorders,10451
2011,drugs,,female,,,,inpatient treatment of substance use disorders,10607
2012,drugs,,female,,,,inpatient treatment of substance use disorders,10600
2013,drugs,,female,,,,inpatient treatment of substance use disorders,11290
2014,drugs,,female,,,,inpatient treatment of substance use disorders,13280
2015,drugs,,female,,,,inpatient treatment of substance use disorders,13230
2016,drugs,,female,,,,inpatient treatment of substance use disorders,13303
2017,drugs,,female,,,,inpatient treatment of substance use disorders,12881
2018,drugs,,female,,,,inpatient treatment of substance use disorders,12858
2019,drugs,,female,,,,inpatient treatment of substance use disorders,12921
2020,drugs,,female,,,,inpatient treatment of substance use disorders,11381
2021,drugs,,female,,,,inpatient treatment of substance use disorders,11382
2022,drugs,,female,,,,inpatient treatment of substance use disorders,10846
2010,drugs,,male,,,,inpatient treatment of substance use disorders,26656
2011,drugs,,male,,,,inpatient treatment of substance use disorders,26241
2012,drugs,,male,,,,inpatient treatment of substance use disorders,25566
2013,drugs,,male,,,,inpatient treatment of substance use disorders,29266
2014,drugs,,male,,,,inpatient treatment of substance use disorders,36515
2015,drugs,,male,,,,inpatient treatment of substance use disorders,38689
2016,drugs,,male,,,,inpatient treatment of substance use disorders,39318
2017,drugs,,male,,,,inpatient treatment of substance use disorders,38925
2018,drugs,,male,,,,inpatient treatment of substance use disorders,39522
2019,drugs,,male,,,,inpatient treatment of substance use disorders,40569
2020,drugs,,male,,,,inpatient treatment of substance use disorders,35701
2021,drugs,,male,,,,inpatient treatment of substance use disorders,35354
2022,drugs,,male,,,,inpatient treatment of substance use disorders,34601
2010,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2011,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2012,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2013,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2014,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2015,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2016,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2017,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2018,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2019,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2020,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2021,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2022,drugs,,unknown,-,,,inpatient treatment of substance use disorders,0
2010,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,191512
2011,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,192159
2012,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,195976
2013,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,194412
2014,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,185305
2015,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,176185
2016,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,170467
2017,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,165834
2018,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,161247
2019,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,159421
2020,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,139044
2021,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,138033
2022,alcohol and other psychoactive substances,,,,,,inpatient treatment of substance use disorders,139542
2010,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,49139
2011,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,50796
2012,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,52487
2013,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,51211
