Year,Units,timeseries,Value
2010,million eur,oda and oof (gross disbursements) to infrastructure,2626.5
2011,million eur,oda and oof (gross disbursements) to infrastructure,2524.3
2012,million eur,oda and oof (gross disbursements) to infrastructure,2254.5
2013,million eur,oda and oof (gross disbursements) to infrastructure,2648.3
2014,million eur,oda and oof (gross disbursements) to infrastructure,3458.8
2015,million eur,oda and oof (gross disbursements) to infrastructure,4346.0
2016,million eur,oda and oof (gross disbursements) to infrastructure,3736.1
2017,million eur,oda and oof (gross disbursements) to infrastructure,3736.6
2018,million eur,oda and oof (gross disbursements) to infrastructure,3850.8
2019,million eur,oda and oof (gross disbursements) to infrastructure,4099.2
2020,million eur,oda and oof (gross disbursements) to infrastructure,4230.2
2010,million eur,oda (gross disbursements) to infrastructure,1927.2
2011,million eur,oda (gross disbursements) to infrastructure,1808.9
2012,million eur,oda (gross disbursements) to infrastructure,1488.2
2013,million eur,oda (gross disbursements) to infrastructure,2046.5
2014,million eur,oda (gross disbursements) to infrastructure,2918.9
2015,million eur,oda (gross disbursements) to infrastructure,3768.4
2016,million eur,oda (gross disbursements) to infrastructure,3304.0
2017,million eur,oda (gross disbursements) to infrastructure,3048.7
2018,million eur,oda (gross disbursements) to infrastructure,3016.5
2019,million eur,oda (gross disbursements) to infrastructure,3309.2
2020,million eur,oda (gross disbursements) to infrastructure,3632.4
2010,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,3532.7
2011,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,3359.0
2012,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,2955.8
2013,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,3405.3
2014,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,4365.9
2015,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,5385.8
2016,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,4569.1
2017,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,4501.9
2018,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,4549.7
2019,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,4745.6
2020,"million usd, constant prices (2020)",oda and oof (gross disbursements) to infrastructure,4820.8
2010,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,2592.2
2011,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,2407.0
2012,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,1951.1
2013,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,2631.5
2014,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,3684.4
2015,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,4669.9
2016,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,4040.7
2017,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,3673.2
2018,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,3564.0
2019,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,3831.0
2020,"million usd, constant prices (2020)",oda (gross disbursements) to infrastructure,4139.5
