Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,12471.827
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,14158.814
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,12867.861
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,15101.429
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,18746.966
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,19169.749
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,25913.433
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,26889.847
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,27347.053
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,27574.453
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,31424.422
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,33668.9
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,39437.988
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,43596.412
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,35061.803
2025,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,…,,,
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,9803.945
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,10135.643
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,10066.924
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,10716.728
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,12485.947
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,16173.103
