Year,Units,Sex,Age group,Form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Per 100,000 inhabitants",,,,,,,0.796
2011,"Per 100,000 inhabitants",,,,,,,0.821
2012,"Per 100,000 inhabitants",,,,|,,,0.765
2013,"Per 100,000 inhabitants",,,,,,,0.749
2014,"Per 100,000 inhabitants",,,,,,,0.722
2015,"Per 100,000 inhabitants",,,,,,,0.579
2016,"Per 100,000 inhabitants",,,,,,,0.652
2017,"Per 100,000 inhabitants",,,,,,,0.811
2018,"Per 100,000 inhabitants",,,,,,,0.595
2019,"Per 100,000 inhabitants",,,,,,,0.566
2020,"Per 100,000 inhabitants",,,,,,,0.576
2021,"Per 100,000 inhabitants",,,,,,,0.678
2022,"Per 100,000 inhabitants",,,,,,,1.796
2023,"Per 100,000 inhabitants",,,,|,,,0.724
2024,"Per 100,000 inhabitants",,,,,,,0.762
2010,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.05
2011,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.039
2012,"Per 100,000 inhabitants",,,Labour exploitation,|,,,0.017
2013,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.076
2014,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.032
2015,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.067
2016,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.058
2017,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.218
2018,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.076
2019,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.052
2020,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.088
2021,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.177
2022,"Per 100,000 inhabitants",,,Labour exploitation,,,,1.224
2023,"Per 100,000 inhabitants",,,Labour exploitation,|,,,0.217
2024,"Per 100,000 inhabitants",,,Labour exploitation,,,,0.205
2010,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.024
2011,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.058
2012,"Per 100,000 inhabitants",Female,,Labour exploitation,|,,,0.017
2013,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.032
2014,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.01
2015,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.019
2016,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.031
