Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,Jährliche Wachstumsrate des realen BIP,,,,4.1
2011,Prozent,Jährliche Wachstumsrate des realen BIP,,,,3.8
2012,Prozent,Jährliche Wachstumsrate des realen BIP,,,,0.5
2013,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,0.5
2014,Prozent,Jährliche Wachstumsrate des realen BIP,,,,2.2
2015,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,1.8
2016,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,2.3
2017,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,2.9
2018,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,1.2
2019,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,1.1
2020,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,-4.0
2021,Prozent,Jährliche Wachstumsrate des realen BIP,r,,,4.0
2022,Prozent,Jährliche Wachstumsrate des realen BIP,,,,1.9
2023,Prozent,Jährliche Wachstumsrate des realen BIP,p,,,-1.0
2024,Prozent,Jährliche Wachstumsrate des realen BIP,0,p,,0.0
2025,Prozent,Jährliche Wachstumsrate des realen BIP,p,,,0.2
2010,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,1578.6
2011,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,1628.1
2012,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1664.0
2013,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,1683.8
2014,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1734.7
2015,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1789.9
2016,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1847.6
2017,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1917.2
2018,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,1999.9
2019,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,2053.6
2020,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,2063.7
2021,Milliarden EUR,Verfügbares Einkommen privater Haushalte,r,,,2132.3
2022,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,2318.5
2023,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2471.2
2024,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2590.2
2025,Milliarden EUR,Verfügbares Einkommen privater Haushalte,p,,,2662.9
2010,Milliarden EUR,Konsum privater Haushalte,,,,1417.1
2011,Milliarden EUR,Konsum privater Haushalte,r,,,1463.4
2012,Milliarden EUR,Konsum privater Haushalte,r,,,1504.9
2013,Milliarden EUR,Konsum privater Haushalte,r,,,1531.8
2014,Milliarden EUR,Konsum privater Haushalte,r,,,1565.2
2015,Milliarden EUR,Konsum privater Haushalte,r,,,1612.2
2016,Milliarden EUR,Konsum privater Haushalte,r,,,1663.7
2017,Milliarden EUR,Konsum privater Haushalte,r,,,1721.2
2018,Milliarden EUR,Konsum privater Haushalte,r,,,1781.1
2019,Milliarden EUR,Konsum privater Haushalte,r,,,1842.6
2020,Milliarden EUR,Konsum privater Haushalte,r,,,1732.1
2021,Milliarden EUR,Konsum privater Haushalte,r,,,1830.2
2022,Milliarden EUR,Konsum privater Haushalte,,,,2080.9
2023,Milliarden EUR,Konsum privater Haushalte,p,,,2215.1
2024,Milliarden EUR,Konsum privater Haushalte,p,,,2297.7
2025,Milliarden EUR,Konsum privater Haushalte,p,,,2382.9
2010,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2011.7
2011,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2025.4
2012,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2068.3
2013,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2043.3
2014,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2043.9
2015,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2020.7
2016,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2009.3
2017,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,1969.1
2018,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,1915.8
2019,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,1899.1
2020,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2172.9
2021,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2321.0
2022,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2368.0
2023,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2447.1
2024,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2510.5
2025,Milliarden EUR,Schulden des Öffentlichen Gesamthaushalts,,,,2662.2
2010,Milliarden EUR,Finanzierungssaldo des Staates,,,,-115.6
2011,Milliarden EUR,Finanzierungssaldo des Staates,,,,-23.1
2012,Milliarden EUR,Finanzierungssaldo des Staates,,,,-1.5
2013,Milliarden EUR,Finanzierungssaldo des Staates,,,,3.5
2014,Milliarden EUR,Finanzierungssaldo des Staates,,,,21.8
2015,Milliarden EUR,Finanzierungssaldo des Staates,,,,28.2
2016,Milliarden EUR,Finanzierungssaldo des Staates,,,,36.2
2017,Milliarden EUR,Finanzierungssaldo des Staates,,,,44.6
2018,Milliarden EUR,Finanzierungssaldo des Staates,,,,64.7
2019,Milliarden EUR,Finanzierungssaldo des Staates,,,,46.9
2020,Milliarden EUR,Finanzierungssaldo des Staates,,,,-151.1
2021,Milliarden EUR,Finanzierungssaldo des Staates,r,,,-117.6
2022,Milliarden EUR,Finanzierungssaldo des Staates,,,,74.3
2023,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-95.0
2024,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-121.1
2025,Milliarden EUR,Finanzierungssaldo des Staates,p,,,-136.5
2010,Milliarden EUR,Bruttoanlageinvestitionen,,,,501.8
2011,Milliarden EUR,Bruttoanlageinvestitionen,,,,549.6
2012,Milliarden EUR,Bruttoanlageinvestitionen,,,,558.9
2013,Milliarden EUR,Bruttoanlageinvestitionen,,,,561.2
2014,Milliarden EUR,Bruttoanlageinvestitionen,,,,590.4
2015,Milliarden EUR,Bruttoanlageinvestitionen,,,,609.6
2016,Milliarden EUR,Bruttoanlageinvestitionen,,,,640.4
2017,Milliarden EUR,Bruttoanlageinvestitionen,,,,671.1
2018,Milliarden EUR,Bruttoanlageinvestitionen,,,,714.9
2019,Milliarden EUR,Bruttoanlageinvestitionen,,,,748.2
