Year,Value,Units,Series
2010,1212.0,million tonnes,raw material consumption (rmc)
2011,1310.0,million tonnes,raw material consumption (rmc)
2012,1269.0,million tonnes,raw material consumption (rmc)
2013,1241.0,million tonnes,raw material consumption (rmc)
2014,1252.0,million tonnes,raw material consumption (rmc)
2015,1207.0,million tonnes,raw material consumption (rmc)
2016,1246.0,million tonnes,raw material consumption (rmc)
2017,1281.0,million tonnes,raw material consumption (rmc)
2018,1299.0,million tonnes,raw material consumption (rmc)
2019,1285.0,million tonnes,raw material consumption (rmc)
2020,1230.0,million tonnes,raw material consumption (rmc)
2021,1263.0,million tonnes,raw material consumption (rmc)
2010,14.8,tonnes per capita,raw material consumption (rmc)
2011,16.3,tonnes per capita,raw material consumption (rmc)
2012,15.8,tonnes per capita,raw material consumption (rmc)
2013,15.4,tonnes per capita,raw material consumption (rmc)
2014,15.4,tonnes per capita,raw material consumption (rmc)
2015,14.7,tonnes per capita,raw material consumption (rmc)
2016,15.1,tonnes per capita,raw material consumption (rmc)
2017,15.5,tonnes per capita,raw material consumption (rmc)
2018,15.6,tonnes per capita,raw material consumption (rmc)
2019,15.5,tonnes per capita,raw material consumption (rmc)
2020,14.8,tonnes per capita,raw material consumption (rmc)
2021,15.2,tonnes per capita,raw material consumption (rmc)
2010,110.2,2020 = 100,raw material consumption per real gdp
2011,114.8,2020 = 100,raw material consumption per real gdp
2012,110.7,2020 = 100,raw material consumption per real gdp
2013,107.8,2020 = 100,raw material consumption per real gdp
2014,106.5,2020 = 100,raw material consumption per real gdp
2015,101.0,2020 = 100,raw material consumption per real gdp
2017,102.0,2020 = 100,raw material consumption per real gdp
2019,100.2,2020 = 100,raw material consumption per real gdp
2020,100.0,2020 = 100,raw material consumption per real gdp
2021,98.8,2020 = 100,raw material consumption per real gdp
