Year,Value,Units,Series
2018,5.0,number,cases of female genital mutilation recorded by the police
2019,2.0,number,cases of female genital mutilation recorded by the police
2021,4.0,number,cases of female genital mutilation recorded by the police
2022,3.0,number,cases of female genital mutilation recorded by the police
2023,3.0,number,cases of female genital mutilation recorded by the police
2024,1.0,number,cases of female genital mutilation recorded by the police
2018,0.012,"per 100,000 female inhabitants",cases of female genital mutilation recorded by the police
2019,0.005,"per 100,000 female inhabitants",cases of female genital mutilation recorded by the police
2021,0.009,"per 100,000 female inhabitants",cases of female genital mutilation recorded by the police
2022,0.007,"per 100,000 female inhabitants",cases of female genital mutilation recorded by the police
2023,0.007,"per 100,000 female inhabitants",cases of female genital mutilation recorded by the police
2016,65.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2017,65.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2018,83.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2019,84.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2020,84.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2021,83.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2022,81.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2023,114.0,'number ',cases of inpatient treatment due to female genital mutilation (personal medical history)
2016,0.157,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2017,0.156,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2018,0.199,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2019,0.202,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2020,0.202,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2021,0.2,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2022,0.193,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
2023,0.27,"per 100,000 female inhabitants",cases of inpatient treatment due to female genital mutilation (personal medical history)
