Year,Value,Units,Series
2010,585.4,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2011,1153.0,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2012,977.6,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2013,957.1,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2014,1154.1,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2015,1287.2,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2016,1216.6,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2017,1919.5,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2018,1594.0,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2019,2305.1,"mn usd, constant prices (2018)",a) oda (commitments) for biodiversity
2010,52116.0,mn eur,b) environmental protection expenditure
2011,54918.0,mn eur,b) environmental protection expenditure
2012,57022.0,mn eur,b) environmental protection expenditure
2013,58937.0,mn eur,b) environmental protection expenditure
2014,63026.0,mn eur,b) environmental protection expenditure
2015,63755.0,mn eur,b) environmental protection expenditure
2016,66288.0,mn eur,b) environmental protection expenditure
2017,69046.0,mn eur,b) environmental protection expenditure
2018,72546.0,mn eur,b) environmental protection expenditure
2019,,mn eur,b) environmental protection expenditure
