Year,Value,Units,Series
2010,100.0,percentage,population with access to electricity
2011,100.0,percentage,population with access to electricity
2012,100.0,percentage,population with access to electricity
2013,100.0,percentage,population with access to electricity
2014,100.0,percentage,population with access to electricity
2015,100.0,percentage,population with access to electricity
2016,100.0,percentage,population with access to electricity
2017,100.0,percentage,population with access to electricity
2018,100.0,percentage,population with access to electricity
2019,100.0,percentage,population with access to electricity
2020,100.0,percentage,population with access to electricity
2021,100.0,percentage,population with access to electricity
2022,100.0,percentage,population with access to electricity
2023,100.0,percentage,population with access to electricity
2024,100.0,percentage,population with access to electricity
2010,44391.3,"number in 1,000",households and small-sized enterprises connected to the electricity network
2011,44766.6,"number in 1,000",households and small-sized enterprises connected to the electricity network
2012,45722.9,"number in 1,000",households and small-sized enterprises connected to the electricity network
2013,46105.0,"number in 1,000",households and small-sized enterprises connected to the electricity network
2014,46918.7,"number in 1,000",households and small-sized enterprises connected to the electricity network
2015,47283.1,"number in 1,000",households and small-sized enterprises connected to the electricity network
2016,47606.5,"number in 1,000",households and small-sized enterprises connected to the electricity network
2017,47241.7,"number in 1,000",households and small-sized enterprises connected to the electricity network
2018,48394.5,"number in 1,000",households and small-sized enterprises connected to the electricity network
2019,48441.5,"number in 1,000",households and small-sized enterprises connected to the electricity network
2020,49137.9,"number in 1,000",households and small-sized enterprises connected to the electricity network
2021,49296.9,"number in 1,000",households and small-sized enterprises connected to the electricity network
2022,49061.7,"number in 1,000",households and small-sized enterprises connected to the electricity network
