Year,Value,Units,Series
2010,26789,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2011,25134,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2012,22362,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2013,21946,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2014,20703,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2015,19233,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2016,18056,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2017,17534,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2018,18146,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2019,13057,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2020,11658,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2021,12818,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2010,466082,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2011,435290,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2012,375632,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2013,378623,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2014,362514,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2015,332666,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2016,315346,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2017,301737,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2018,324648,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2019,239209,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2020,212531,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2021,232863,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
