Year,Value,Series
2010,268.0,co₂ emissions per real gdp
2011,251.4,co₂ emissions per real gdp
2012,253.2,co₂ emissions per real gdp
2013,257.7,co₂ emissions per real gdp
2014,240.3,co₂ emissions per real gdp
2015,238.9,co₂ emissions per real gdp
2016,232.7,co₂ emissions per real gdp
2017,222.7,co₂ emissions per real gdp
2023,164.2,co₂ emissions per real gdp
2010,317.1,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2011,288.7,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2012,288.4,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2013,287.5,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2014,271.2,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2015,279.1,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2016,272.6,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2017,270.5,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2018,257.3,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2019,254.8,co₂ emissions per gross value added (price adjusted) in manufacturing industries
2020,268.9,co₂ emissions per gross value added (price adjusted) in manufacturing industries
