Year,Value,Units
2010,4.7,"per 100,000 inhabitants"
2011,5.2,"per 100,000 inhabitants"
2012,4.8,"per 100,000 inhabitants"
2013,4.3,"per 100,000 inhabitants"
2014,4.2,"per 100,000 inhabitants"
2015,4.2,"per 100,000 inhabitants"
2016,3.8,"per 100,000 inhabitants"
2017,3.6,"per 100,000 inhabitants"
2018,3.7,"per 100,000 inhabitants"
2019,3.4,"per 100,000 inhabitants"
2020,3.0,"per 100,000 inhabitants"
2021,2.8,"per 100,000 inhabitants"
2022,3.1,"per 100,000 inhabitants"
2023,3.0,"per 100,000 inhabitants"
2024,3.2,"per 100,000 inhabitants"
2010,3839.0,number
2011,4197.0,number
2012,3847.0,number
2013,3482.0,number
2014,3422.0,number
2015,3377.0,number
2016,3094.0,number
2017,2934.0,number
2018,3050.0,number
2019,2774.0,number
2020,2491.0,number
2021,2292.0,number
2022,2544.0,number
2023,2533.0,number
2024,2703.0,number
