Year,Value,Units,Series
2010,1228.0,million tonnes,domestic material consumption (dmc)
2011,1311.0,million tonnes,domestic material consumption (dmc)
2012,1265.0,million tonnes,domestic material consumption (dmc)
2013,1267.0,million tonnes,domestic material consumption (dmc)
2014,1289.0,million tonnes,domestic material consumption (dmc)
2015,1248.0,million tonnes,domestic material consumption (dmc)
2016,1264.0,million tonnes,domestic material consumption (dmc)
2017,1279.0,million tonnes,domestic material consumption (dmc)
2018,1231.0,million tonnes,domestic material consumption (dmc)
2019,1190.0,million tonnes,domestic material consumption (dmc)
2020,1157.0,million tonnes,domestic material consumption (dmc)
2021,1187.0,million tonnes,domestic material consumption (dmc)
2022,1141.0,million tonnes,domestic material consumption (dmc)
2023,1025.0,million tonnes,domestic material consumption (dmc)
2024,984.0,million tonnes,domestic material consumption (dmc)
2011,16.3,tonnes per capita,domestic material consumption (dmc)
2012,15.7,tonnes per capita,domestic material consumption (dmc)
2013,15.7,tonnes per capita,domestic material consumption (dmc)
2014,16.0,tonnes per capita,domestic material consumption (dmc)
2015,15.3,tonnes per capita,domestic material consumption (dmc)
2016,15.4,tonnes per capita,domestic material consumption (dmc)
2017,15.6,tonnes per capita,domestic material consumption (dmc)
2018,15.0,tonnes per capita,domestic material consumption (dmc)
2019,14.5,tonnes per capita,domestic material consumption (dmc)
2020,14.1,tonnes per capita,domestic material consumption (dmc)
2021,14.5,tonnes per capita,domestic material consumption (dmc)
2022,13.8,tonnes per capita,domestic material consumption (dmc)
2023,12.3,tonnes per capita,domestic material consumption (dmc)
2024,11.8,tonnes per capita,domestic material consumption (dmc)
2010,118.8,2020 = 100,domestic material consumption per real gdp
2011,122.2,2020 = 100,domestic material consumption per real gdp
2012,117.4,2020 = 100,domestic material consumption per real gdp
2013,117.0,2020 = 100,domestic material consumption per real gdp
2014,116.6,2020 = 100,domestic material consumption per real gdp
2015,111.0,2020 = 100,domestic material consumption per real gdp
2016,110.0,2020 = 100,domestic material consumption per real gdp
2017,108.2,2020 = 100,domestic material consumption per real gdp
2018,103.0,2020 = 100,domestic material consumption per real gdp
2019,98.7,2020 = 100,domestic material consumption per real gdp
2020,100.0,2020 = 100,domestic material consumption per real gdp
2021,98.8,2020 = 100,domestic material consumption per real gdp
