Year,Value,Units,Series
2010,19.4,percentage,manufacturing gross value added as a proportion of gdp
2011,20.1,percentage,manufacturing gross value added as a proportion of gdp
2012,20.0,percentage,manufacturing gross value added as a proportion of gdp
2014,20.1,percentage,manufacturing gross value added as a proportion of gdp
2015,20.1,percentage,manufacturing gross value added as a proportion of gdp
2016,20.4,percentage,manufacturing gross value added as a proportion of gdp
2022,18.2,percentage,manufacturing gross value added as a proportion of gdp
2010,21.7,percentage,manufacturing gross value added as a proportion of total gross value added
2011,22.5,percentage,manufacturing gross value added as a proportion of total gross value added
2014,22.5,percentage,manufacturing gross value added as a proportion of total gross value added
2020,20.6,percentage,manufacturing gross value added as a proportion of total gross value added
2022,20.3,percentage,manufacturing gross value added as a proportion of total gross value added
2010,6329.0,eur,manufacturing gross value added per capita
2011,6886.0,eur,manufacturing gross value added per capita
2012,6981.0,eur,manufacturing gross value added per capita
2022,8867.0,eur,manufacturing gross value added per capita
