Year,Value,Series
2022,286978.155,output of the environmental goods and services sector (egss)
2010,10279.0,gross fixed capital formation for environmental protection activities
2011,11415.0,gross fixed capital formation for environmental protection activities
2012,11701.0,gross fixed capital formation for environmental protection activities
2013,11331.0,gross fixed capital formation for environmental protection activities
2015,12117.0,gross fixed capital formation for environmental protection activities
2016,12824.0,gross fixed capital formation for environmental protection activities
2017,13263.0,gross fixed capital formation for environmental protection activities
2018,14747.0,gross fixed capital formation for environmental protection activities
2019,15577.0,gross fixed capital formation for environmental protection activities
2021,14210.0,gross fixed capital formation for environmental protection activities
