Year,Value,Series
2011,1,at least one population and housing census in the last 10 years conducted
2012,1,at least one population and housing census in the last 10 years conducted
2013,1,at least one population and housing census in the last 10 years conducted
2014,1,at least one population and housing census in the last 10 years conducted
2015,1,at least one population and housing census in the last 10 years conducted
2016,1,at least one population and housing census in the last 10 years conducted
2017,1,at least one population and housing census in the last 10 years conducted
2018,1,at least one population and housing census in the last 10 years conducted
2019,1,at least one population and housing census in the last 10 years conducted
2020,1,at least one population and housing census in the last 10 years conducted
2022,1,at least one population and housing census in the last 10 years conducted
2023,1,at least one population and housing census in the last 10 years conducted
2024,1,at least one population and housing census in the last 10 years conducted
2025,1,at least one population and housing census in the last 10 years conducted
2026,1,at least one population and housing census in the last 10 years conducted
2010,1,birth registration
2011,1,birth registration
2012,1,birth registration
2013,1,birth registration
2014,1,birth registration
2015,1,birth registration
2016,1,birth registration
2017,1,birth registration
2018,1,birth registration
2019,1,birth registration
2020,1,birth registration
2021,1,birth registration
2022,1,birth registration
2023,1,birth registration
2024,1,birth registration
2025,1,birth registration
2026,1,birth registration
2010,1,death registration
2011,1,death registration
2012,1,death registration
2013,1,death registration
2014,1,death registration
2015,1,death registration
2016,1,death registration
2017,1,death registration
2018,1,death registration
2019,1,death registration
2020,1,death registration
2021,1,death registration
2022,1,death registration
2023,1,death registration
2024,1,death registration
2025,1,death registration
2026,1,death registration
