Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,million tonnes,,,,domestic material consumption (dmc),1239.0
2011,million tonnes,,,,domestic material consumption (dmc),1322.0
2012,million tonnes,,,,domestic material consumption (dmc),1276.0
2013,million tonnes,,,,domestic material consumption (dmc),1276.0
2014,million tonnes,,,,domestic material consumption (dmc),1285.0
2015,million tonnes,,,,domestic material consumption (dmc),1243.0
2016,million tonnes,,,,domestic material consumption (dmc),1259.0
2017,million tonnes,,,,domestic material consumption (dmc),1274.0
2018,million tonnes,,,,domestic material consumption (dmc),1234.0
2019,million tonnes,,,,domestic material consumption (dmc),1191.0
2020,million tonnes,,,,domestic material consumption (dmc),1156.0
2021,million tonnes,,,,domestic material consumption (dmc),1187.0
2022,million tonnes,,,,domestic material consumption (dmc),1140.0
2023,million tonnes,,,,domestic material consumption (dmc),1024.0
2010,tonnes per capita,,,,domestic material consumption (dmc),15.4
2011,tonnes per capita,,,,domestic material consumption (dmc),16.5
2012,tonnes per capita,,,,domestic material consumption (dmc),15.9
2013,tonnes per capita,,,,domestic material consumption (dmc),15.8
2014,tonnes per capita,,,,domestic material consumption (dmc),15.9
2015,tonnes per capita,,,,domestic material consumption (dmc),15.2
2016,tonnes per capita,,,,domestic material consumption (dmc),15.3
2017,tonnes per capita,,,,domestic material consumption (dmc),15.4
2018,tonnes per capita,,,,domestic material consumption (dmc),14.9
2019,tonnes per capita,,,,domestic material consumption (dmc),14.3
2020,tonnes per capita,,,,domestic material consumption (dmc),13.9
2021,tonnes per capita,,,,domestic material consumption (dmc),14.3
2022,tonnes per capita,r,,,domestic material consumption (dmc),13.8
2023,tonnes per capita,,,,domestic material consumption (dmc),12.3
2010,2020 = 100,,,,domestic material consumption per real gdp,119.9
2011,2020 = 100,,,,domestic material consumption per real gdp,123.2
2012,2020 = 100,,,,domestic material consumption per real gdp,118.4
2013,2020 = 100,,,,domestic material consumption per real gdp,118.0
2014,2020 = 100,,,,domestic material consumption per real gdp,116.3
2015,2020 = 100,,,,domestic material consumption per real gdp,110.6
2016,2020 = 100,r,,,domestic material consumption per real gdp,109.6
2017,2020 = 100,,,,domestic material consumption per real gdp,107.9
2018,2020 = 100,r,,,domestic material consumption per real gdp,103.3
2019,2020 = 100,r,,,domestic material consumption per real gdp,98.7
2020,2020 = 100,,,,domestic material consumption per real gdp,100.0
2021,2020 = 100,,,,domestic material consumption per real gdp,98.7
2022,2020 = 100,p,,,domestic material consumption per real gdp,93.1
2023,2020 = 100,p,,,domestic material consumption per real gdp,84.4
