Year,Perzentile,Geschlecht,Value
2005,P5,Weiblich,
2006,P5,Weiblich,1085.0
2007,P5,Weiblich,
2005,P10,Weiblich,
2006,P10,Weiblich,1231.0
2007,P10,Weiblich,
2005,P25,Weiblich,
2006,P25,Weiblich,1501.0
2007,P25,Weiblich,
2005,P50,Weiblich,
2006,P50,Weiblich,1833.0
2007,P50,Weiblich,
2005,P75,Weiblich,
2006,P75,Weiblich,2234.0
2007,P75,Weiblich,
2005,P90,Weiblich,
2006,P90,Weiblich,2678.0
2007,P90,Weiblich,
2005,P95,Weiblich,
2006,P95,Weiblich,3018.0
2007,P95,Weiblich,
2005,P5,Männlich,
2006,P5,Männlich,1394.0
2007,P5,Männlich,
2005,P10,Männlich,
2006,P10,Männlich,1585.0
2007,P10,Männlich,
2005,P25,Männlich,
2006,P25,Männlich,1962.0
2007,P25,Männlich,
2005,P50,Männlich,
2006,P50,Männlich,2413.0
2007,P50,Männlich,
2005,P75,Männlich,
2006,P75,Männlich,3024.0
2007,P75,Männlich,
2005,P90,Männlich,
2006,P90,Männlich,3719.0
2007,P90,Männlich,
2005,P95,Männlich,
2006,P95,Männlich,4268.0
2007,P95,Männlich,
