Year,Units,stages of the food chain,Value
2019,"1,000 tonnes",,
2020,"1,000 tonnes",,9119.0
2021,"1,000 tonnes",,
2019,"1,000 tonnes",restaurants and food services,
2020,"1,000 tonnes",restaurants and food services,1861.0
2021,"1,000 tonnes",restaurants and food services,
2019,"1,000 tonnes",private households,
2020,"1,000 tonnes",private households,6496.0
2021,"1,000 tonnes",private households,
2019,"1,000 tonnes",retail and other distribution of food,
2020,"1,000 tonnes",retail and other distribution of food,762.0
2021,"1,000 tonnes",retail and other distribution of food,
2019,kilogram per capita,,
2020,kilogram per capita,,109.0
2021,kilogram per capita,,
2019,kilogram per capita,private households,
2020,kilogram per capita,private households,78.0
2021,kilogram per capita,private households,
2019,kilogram per capita,retail and other distribution of food,
2020,kilogram per capita,retail and other distribution of food,9.0
2021,kilogram per capita,retail and other distribution of food,
2019,kilogram per capita,restaurants and food services,
2020,kilogram per capita,restaurants and food services,22.0
2021,kilogram per capita,restaurants and food services,
