Year,Time series,Age group,Sex,Value
2010,Severely materially deprived persons,,,4.5
2011,Severely materially deprived persons,,,5.3
2012,Severely materially deprived persons,,,4.9
2013,Severely materially deprived persons,,,5.4
2014,Severely materially deprived persons,,,5.0
2015,Severely materially deprived persons,,,4.4
2016,Severely materially deprived persons,,,3.7
2017,Severely materially deprived persons,,,3.4
2018,Severely materially deprived persons,,,3.1
2019,Severely materially deprived persons,,,2.6
2020,Severely materially deprived persons,,,6.6
2010,Persons at risk of poverty or social exclusion,,,19.7
2011,Persons at risk of poverty or social exclusion,,,19.9
2012,Persons at risk of poverty or social exclusion,,,19.6
2013,Persons at risk of poverty or social exclusion,,,20.3
2014,Persons at risk of poverty or social exclusion,,,20.6
2015,Persons at risk of poverty or social exclusion,,,20.0
2016,Persons at risk of poverty or social exclusion,,,19.7
2017,Persons at risk of poverty or social exclusion,,,19.0
2018,Persons at risk of poverty or social exclusion,,,18.7
2019,Persons at risk of poverty or social exclusion,,,17.4
2020,Persons at risk of poverty or social exclusion,,,24.0
2010,Persons at risk of poverty or social exclusion,17 years and younger,,21.7
2011,Persons at risk of poverty or social exclusion,17 years and younger,,19.9
2012,Persons at risk of poverty or social exclusion,17 years and younger,,18.4
2013,Persons at risk of poverty or social exclusion,17 years and younger,,19.4
2014,Persons at risk of poverty or social exclusion,17 years and younger,,19.6
2015,Persons at risk of poverty or social exclusion,17 years and younger,,18.5
2016,Persons at risk of poverty or social exclusion,17 years and younger,,19.3
2017,Persons at risk of poverty or social exclusion,17 years and younger,,18.0
2018,Persons at risk of poverty or social exclusion,17 years and younger,,17.3
2019,Persons at risk of poverty or social exclusion,17 years and younger,,15.0
2020,Persons at risk of poverty or social exclusion,17 years and younger,,25.6
2010,Persons at risk of poverty or social exclusion,18 to under 65 years,,20.8
2011,Persons at risk of poverty or social exclusion,18 to under 65 years,,21.3
2012,Persons at risk of poverty or social exclusion,18 to under 65 years,,21.2
2013,Persons at risk of poverty or social exclusion,18 to under 65 years,,22.0
2014,Persons at risk of poverty or social exclusion,18 to under 65 years,,22.0
2015,Persons at risk of poverty or social exclusion,18 to under 65 years,,21.3
2016,Persons at risk of poverty or social exclusion,18 to under 65 years,,20.2
2017,Persons at risk of poverty or social exclusion,18 to under 65 years,,19.6
2018,Persons at risk of poverty or social exclusion,18 to under 65 years,,19.0
2019,Persons at risk of poverty or social exclusion,18 to under 65 years,,17.7
2020,Persons at risk of poverty or social exclusion,18 to under 65 years,,23.9
2010,Persons at risk of poverty or social exclusion,65 years and older,,14.8
2011,Persons at risk of poverty or social exclusion,65 years and older,,15.3
2012,Persons at risk of poverty or social exclusion,65 years and older,,15.8
2013,Persons at risk of poverty or social exclusion,65 years and older,,16.0
2014,Persons at risk of poverty or social exclusion,65 years and older,,17.4
2015,Persons at risk of poverty or social exclusion,65 years and older,,17.2
2016,Persons at risk of poverty or social exclusion,65 years and older,,18.3
2017,Persons at risk of poverty or social exclusion,65 years and older,,17.7
2018,Persons at risk of poverty or social exclusion,65 years and older,,19.0
2019,Persons at risk of poverty or social exclusion,65 years and older,,18.7
2020,Persons at risk of poverty or social exclusion,65 years and older,,23.0
2010,Persons at risk of poverty or social exclusion,,Female,20.9
2011,Persons at risk of poverty or social exclusion,,Female,21.3
2012,Persons at risk of poverty or social exclusion,,Female,21.1
2013,Persons at risk of poverty or social exclusion,,Female,21.9
2014,Persons at risk of poverty or social exclusion,,Female,21.8
2015,Persons at risk of poverty or social exclusion,,Female,21.1
2016,Persons at risk of poverty or social exclusion,,Female,21.2
2017,Persons at risk of poverty or social exclusion,,Female,20.3
2018,Persons at risk of poverty or social exclusion,,Female,19.8
2019,Persons at risk of poverty or social exclusion,,Female,18.5
2020,Persons at risk of poverty or social exclusion,,Female,24.8
2010,Persons at risk of poverty or social exclusion,,Male,18.6
2011,Persons at risk of poverty or social exclusion,,Male,18.5
2012,Persons at risk of poverty or social exclusion,,Male,18.1
2013,Persons at risk of poverty or social exclusion,,Male,18.8
2014,Persons at risk of poverty or social exclusion,,Male,19.5
2015,Persons at risk of poverty or social exclusion,,Male,18.8
2016,Persons at risk of poverty or social exclusion,,Male,18.1
2017,Persons at risk of poverty or social exclusion,,Male,17.6
2018,Persons at risk of poverty or social exclusion,,Male,17.6
2019,Persons at risk of poverty or social exclusion,,Male,16.3
2020,Persons at risk of poverty or social exclusion,,Male,23.2
