Year,Type of disease,Value
2010,a) Diarrhoea,3.6
2011,a) Diarrhoea,5.7
2012,a) Diarrhoea,6.9
2013,a) Diarrhoea,7.1
2014,a) Diarrhoea,6.3
2015,a) Diarrhoea,7.0
2016,a) Diarrhoea,5.7
2017,a) Diarrhoea,5.4
2018,a) Diarrhoea,5.1
2019,a) Diarrhoea,4.2
2010,b) Intestinal nematode infections,
2011,b) Intestinal nematode infections,
2012,b) Intestinal nematode infections,0.0
2013,b) Intestinal nematode infections,
2014,b) Intestinal nematode infections,
2015,b) Intestinal nematode infections,
2016,b) Intestinal nematode infections,
2017,b) Intestinal nematode infections,
2018,b) Intestinal nematode infections,
2019,b) Intestinal nematode infections,
2010,c) Protein-energy malnutrition,0.3
2011,c) Protein-energy malnutrition,0.3
2012,c) Protein-energy malnutrition,0.3
2013,c) Protein-energy malnutrition,0.3
2014,c) Protein-energy malnutrition,0.3
2015,c) Protein-energy malnutrition,0.5
2016,c) Protein-energy malnutrition,0.5
2017,c) Protein-energy malnutrition,0.7
2018,c) Protein-energy malnutrition,0.8
2019,c) Protein-energy malnutrition,0.8
