Year,Geschlecht,Altersklasse,Migrationsstatus,Einkommensquintil,Verstädterungsgrad,Ausbildungsgrad,Herkunftsland,Familienstand,Value
2010,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,13.0
2016,,,,,,,,,
2017,,,,,,,,,10.0
2018,,,,,,,,,
2019,,,,,,,,,9.0
2020,,,,,,,,,
2021,,,,,,,,,8.0
2010,Weiblich,,,,,,,,
2011,Weiblich,,,,,,,,
2012,Weiblich,,,,,,,,
2013,Weiblich,,,,,,,,
2014,Weiblich,,,,,,,,
2015,Weiblich,,,,,,,,13.0
2016,Weiblich,,,,,,,,
2017,Weiblich,,,,,,,,10.0
2018,Weiblich,,,,,,,,
2019,Weiblich,,,,,,,,8.0
2020,Weiblich,,,,,,,,
2021,Weiblich,,,,,,,,7.0
2010,Männlich,,,,,,,,
2011,Männlich,,,,,,,,
2012,Männlich,,,,,,,,
2013,Männlich,,,,,,,,
2014,Männlich,,,,,,,,
2015,Männlich,,,,,,,,13.0
2016,Männlich,,,,,,,,
2017,Männlich,,,,,,,,10.0
2018,Männlich,,,,,,,,
2019,Männlich,,,,,,,,9.0
2020,Männlich,,,,,,,,
2021,Männlich,,,,,,,,9.0
2010,Divers,,,,,,,,
2011,Divers,,,,,,,,
2012,Divers,,,,,,,,
2013,Divers,,,,,,,,
2014,Divers,,,,,,,,
2015,Divers,,,,,,,,
2016,Divers,,,,,,,,
2017,Divers,,,,,,,,
2018,Divers,,,,,,,,
2019,Divers,,,,,,,,23.0
2020,Divers,,,,,,,,
2021,Divers,,,,,,,,5.0
2010,,15 bis unter 20 Jahre,,,,,,,
2011,,15 bis unter 20 Jahre,,,,,,,
2012,,15 bis unter 20 Jahre,,,,,,,
2013,,15 bis unter 20 Jahre,,,,,,,
2014,,15 bis unter 20 Jahre,,,,,,,
2015,,15 bis unter 20 Jahre,,,,,,,8.0
2016,,15 bis unter 20 Jahre,,,,,,,
2017,,15 bis unter 20 Jahre,,,,,,,8.0
2018,,15 bis unter 20 Jahre,,,,,,,
2019,,15 bis unter 20 Jahre,,,,,,,7.0
2020,,15 bis unter 20 Jahre,,,,,,,
2021,,15 bis unter 20 Jahre,,,,,,,10.0
2010,,20 bis unter 25 Jahre,,,,,,,
2011,,20 bis unter 25 Jahre,,,,,,,
2012,,20 bis unter 25 Jahre,,,,,,,
2013,,20 bis unter 25 Jahre,,,,,,,
2014,,20 bis unter 25 Jahre,,,,,,,
2015,,20 bis unter 25 Jahre,,,,,,,14.0
2016,,20 bis unter 25 Jahre,,,,,,,
2017,,20 bis unter 25 Jahre,,,,,,,9.0
2018,,20 bis unter 25 Jahre,,,,,,,
2019,,20 bis unter 25 Jahre,,,,,,,8.0
2020,,20 bis unter 25 Jahre,,,,,,,
2021,,20 bis unter 25 Jahre,,,,,,,9.0
2010,,25 bis unter 30 Jahre,,,,,,,
2011,,25 bis unter 30 Jahre,,,,,,,
2012,,25 bis unter 30 Jahre,,,,,,,
2013,,25 bis unter 30 Jahre,,,,,,,
2014,,25 bis unter 30 Jahre,,,,,,,
2015,,25 bis unter 30 Jahre,,,,,,,15.0
2016,,25 bis unter 30 Jahre,,,,,,,
2017,,25 bis unter 30 Jahre,,,,,,,10.0
2018,,25 bis unter 30 Jahre,,,,,,,
2019,,25 bis unter 30 Jahre,,,,,,,11.0
2020,,25 bis unter 30 Jahre,,,,,,,
2021,,25 bis unter 30 Jahre,,,,,,,9.0
2010,,30 bis unter 35 Jahre,,,,,,,
2011,,30 bis unter 35 Jahre,,,,,,,
2012,,30 bis unter 35 Jahre,,,,,,,
2013,,30 bis unter 35 Jahre,,,,,,,
2014,,30 bis unter 35 Jahre,,,,,,,
2015,,30 bis unter 35 Jahre,,,,,,,10.0
2016,,30 bis unter 35 Jahre,,,,,,,
2017,,30 bis unter 35 Jahre,,,,,,,9.0
2018,,30 bis unter 35 Jahre,,,,,,,
2019,,30 bis unter 35 Jahre,,,,,,,10.0
2020,,30 bis unter 35 Jahre,,,,,,,
2021,,30 bis unter 35 Jahre,,,,,,,8.0
2010,,35 bis unter 40 Jahre,,,,,,,
2011,,35 bis unter 40 Jahre,,,,,,,
2012,,35 bis unter 40 Jahre,,,,,,,
2013,,35 bis unter 40 Jahre,,,,,,,
2014,,35 bis unter 40 Jahre,,,,,,,
2015,,35 bis unter 40 Jahre,,,,,,,13.0
2016,,35 bis unter 40 Jahre,,,,,,,
2017,,35 bis unter 40 Jahre,,,,,,,6.0
2018,,35 bis unter 40 Jahre,,,,,,,
2019,,35 bis unter 40 Jahre,,,,,,,9.0
2020,,35 bis unter 40 Jahre,,,,,,,
2021,,35 bis unter 40 Jahre,,,,,,,7.0
2010,,40 bis unter 45 Jahre,,,,,,,
2011,,40 bis unter 45 Jahre,,,,,,,
2012,,40 bis unter 45 Jahre,,,,,,,
2013,,40 bis unter 45 Jahre,,,,,,,
2014,,40 bis unter 45 Jahre,,,,,,,
2015,,40 bis unter 45 Jahre,,,,,,,11.0
2016,,40 bis unter 45 Jahre,,,,,,,
2017,,40 bis unter 45 Jahre,,,,,,,8.0
2018,,40 bis unter 45 Jahre,,,,,,,
2019,,40 bis unter 45 Jahre,,,,,,,7.0
2020,,40 bis unter 45 Jahre,,,,,,,
2021,,40 bis unter 45 Jahre,,,,,,,8.0
2010,,45 bis unter 50 Jahre,,,,,,,
2011,,45 bis unter 50 Jahre,,,,,,,
2012,,45 bis unter 50 Jahre,,,,,,,
2013,,45 bis unter 50 Jahre,,,,,,,
2014,,45 bis unter 50 Jahre,,,,,,,
2015,,45 bis unter 50 Jahre,,,,,,,10.0
2016,,45 bis unter 50 Jahre,,,,,,,
2017,,45 bis unter 50 Jahre,,,,,,,10.0
