Year,Substanz,Grenze,Geschlecht,Series,Value
2010,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,37107.0
2011,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36848.0
2012,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36166.0
2013,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,40556.0
2014,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,49795.0
2015,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,51919.0
2016,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,52621.0
2017,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,51806.0
2018,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,52380.0
2019,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,53490.0
2020,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,47082.0
2021,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,46736.0
2010,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10451.0
2011,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10607.0
2012,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10600.0
2013,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,11290.0
2014,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,13280.0
2015,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,13230.0
2016,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,13303.0
2017,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,12881.0
2018,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,12858.0
2019,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,12921.0
2020,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,11381.0
2021,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,11382.0
2010,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,26656.0
2011,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,26241.0
2012,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,25566.0
2013,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,29266.0
2014,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36515.0
2015,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,38689.0
2016,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,39318.0
2017,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,38925.0
2018,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,39522.0
2019,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,40569.0
2020,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,35701.0
2021,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,35354.0
2010,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2011,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2012,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2013,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2014,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
