Year,timeseries,urbanisation,sex,Series,Value
2010,overcrowding rate,cities,,housing conditions,9.6
2011,overcrowding rate,cities,,housing conditions,9.5
2012,overcrowding rate,cities,,housing conditions,10.8
2013,overcrowding rate,cities,,housing conditions,10.4
2014,overcrowding rate,cities,,housing conditions,9.9
2015,overcrowding rate,cities,,housing conditions,10.5
2016,overcrowding rate,cities,,housing conditions,11.0
2017,overcrowding rate,cities,,housing conditions,11.4
2018,overcrowding rate,cities,,housing conditions,11.5
2019,overcrowding rate,cities,,housing conditions,12.7
2020,overcrowding rate,cities,,housing conditions,15.0
2010,overcrowding rate,smaller towns and suburbs,,housing conditions,4.7
2011,overcrowding rate,smaller towns and suburbs,,housing conditions,4.1
2012,overcrowding rate,smaller towns and suburbs,,housing conditions,4.8
2013,overcrowding rate,smaller towns and suburbs,,housing conditions,5.2
2014,overcrowding rate,smaller towns and suburbs,,housing conditions,5.2
2015,overcrowding rate,smaller towns and suburbs,,housing conditions,5.6
2016,overcrowding rate,smaller towns and suburbs,,housing conditions,5.9
2017,overcrowding rate,smaller towns and suburbs,,housing conditions,5.3
2018,overcrowding rate,smaller towns and suburbs,,housing conditions,5.5
2019,overcrowding rate,smaller towns and suburbs,,housing conditions,5.5
2020,overcrowding rate,smaller towns and suburbs,,housing conditions,8.0
2010,overcrowding rate,rural areas,,housing conditions,4.7
2011,overcrowding rate,rural areas,,housing conditions,4.1
2012,overcrowding rate,rural areas,,housing conditions,3.7
2013,overcrowding rate,rural areas,,housing conditions,4.0
2014,overcrowding rate,rural areas,,housing conditions,4.1
2015,overcrowding rate,rural areas,,housing conditions,3.9
2016,overcrowding rate,rural areas,,housing conditions,3.5
2017,overcrowding rate,rural areas,,housing conditions,3.9
2018,overcrowding rate,rural areas,,housing conditions,4.2
2019,overcrowding rate,rural areas,,housing conditions,4.0
2020,overcrowding rate,rural areas,,housing conditions,5.5
2010,housing cost overburden rate,cities,,housing conditions,16.2
2011,housing cost overburden rate,cities,,housing conditions,18.0
2012,housing cost overburden rate,cities,,housing conditions,19.8
2013,housing cost overburden rate,cities,,housing conditions,18.9
2014,housing cost overburden rate,cities,,housing conditions,19.3
2015,housing cost overburden rate,cities,,housing conditions,19.1
2016,housing cost overburden rate,cities,,housing conditions,19.6
2017,housing cost overburden rate,cities,,housing conditions,17.9
2018,housing cost overburden rate,cities,,housing conditions,17.6
2019,housing cost overburden rate,cities,,housing conditions,16.2
2020,housing cost overburden rate,cities,,housing conditions,11.4
2010,housing cost overburden rate,smaller towns and suburbs,,housing conditions,13.0
2011,housing cost overburden rate,smaller towns and suburbs,,housing conditions,14.5
2012,housing cost overburden rate,smaller towns and suburbs,,housing conditions,15.5
2013,housing cost overburden rate,smaller towns and suburbs,,housing conditions,16.1
2014,housing cost overburden rate,smaller towns and suburbs,,housing conditions,14.9
2015,housing cost overburden rate,smaller towns and suburbs,,housing conditions,14.5
2016,housing cost overburden rate,smaller towns and suburbs,,housing conditions,14.5
2017,housing cost overburden rate,smaller towns and suburbs,,housing conditions,13.4
2018,housing cost overburden rate,smaller towns and suburbs,,housing conditions,13.3
2019,housing cost overburden rate,smaller towns and suburbs,,housing conditions,12.7
2020,housing cost overburden rate,smaller towns and suburbs,,housing conditions,7.8
2010,housing cost overburden rate,rural areas,,housing conditions,12.3
2011,housing cost overburden rate,rural areas,,housing conditions,13.6
2012,housing cost overburden rate,rural areas,,housing conditions,13.9
2013,housing cost overburden rate,rural areas,,housing conditions,13.3
2014,housing cost overburden rate,rural areas,,housing conditions,12.7
2015,housing cost overburden rate,rural areas,,housing conditions,12.0
2016,housing cost overburden rate,rural areas,,housing conditions,12.2
2017,housing cost overburden rate,rural areas,,housing conditions,11.0
2018,housing cost overburden rate,rural areas,,housing conditions,10.4
2019,housing cost overburden rate,rural areas,,housing conditions,12.4
2020,housing cost overburden rate,rural areas,,housing conditions,6.8
2010,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,13.3
2011,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,13.7
2012,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,13.5
2013,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,13.1
2014,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,12.3
2015,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,12.8
2016,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,13.1
2017,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,12.5
2018,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,13.4
2019,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,12.0
2020,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,,housing deprivation,12.0
2010,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,13.7
2011,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,14.1
2012,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,13.7
2013,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,13.1
2014,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,12.6
2015,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,13.1
2016,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,13.5
2017,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,12.7
2018,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,13.7
2019,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,12.3
2020,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,female,housing deprivation,12.2
2010,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,13.0
2011,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,13.4
2012,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,13.2
2013,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,13.1
2014,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,12.1
2015,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,12.4
2016,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,12.7
2017,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,12.2
2018,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,13.2
2019,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,11.7
2020,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",,male,housing deprivation,11.8
2010,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.5
2011,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.1
2012,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.1
2013,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2014,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2015,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2016,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2017,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2018,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2019,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2020,"population having neither a bath, nor a shower in their dwelling",,,housing deprivation,0.0
2010,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.5
2011,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.1
2012,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.1
2013,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2014,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2015,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2016,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2017,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2018,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2019,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2020,"population having neither a bath, nor a shower in their dwelling",,female,housing deprivation,0.0
2010,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.6
2011,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.1
2012,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.1
2013,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2014,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2015,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2016,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2017,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2018,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2019,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2020,"population having neither a bath, nor a shower in their dwelling",,male,housing deprivation,0.0
2010,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,1.6
2011,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.9
2012,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.9
2013,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.1
2014,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.0
2015,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.1
2016,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.1
2017,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.1
