Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2011,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2012,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2013,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2014,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2015,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2016,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2017,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2018,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2019,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2020,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2021,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2022,Prozent,s,,,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100
2010,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,49237
2011,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,50237
2012,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,49759
2013,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,49570
2014,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,51102
2015,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,51625
2016,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,52133
2017,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,51790
2018,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,50260
2019,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,50643
2020,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,50993
2021,1 000 Tonnen,,,,Siedlungsabfälle insgesamt,51793
2022,1 000 Tonnen,p,,,Siedlungsabfälle insgesamt,48559
