Year,Units,Series,Value
2010,million tonnes,domestic material consumption (dmc),1239.0
2011,million tonnes,domestic material consumption (dmc),1323.0
2012,million tonnes,domestic material consumption (dmc),1277.0
2013,million tonnes,domestic material consumption (dmc),1277.0
2014,million tonnes,domestic material consumption (dmc),1289.0
2015,million tonnes,domestic material consumption (dmc),1249.0
2016,million tonnes,domestic material consumption (dmc),1264.0
2017,million tonnes,domestic material consumption (dmc),1282.0
2018,million tonnes,domestic material consumption (dmc),1240.0
2019,million tonnes,domestic material consumption (dmc),1198.0
2020,million tonnes,domestic material consumption (dmc),1162.0
2021,million tonnes,domestic material consumption (dmc),1196.0
2022,million tonnes,domestic material consumption (dmc),1143.0
2010,tonnes per capita,domestic material consumption (dmc),15.4
2011,tonnes per capita,domestic material consumption (dmc),16.5
2012,tonnes per capita,domestic material consumption (dmc),15.9
2013,tonnes per capita,domestic material consumption (dmc),15.8
2014,tonnes per capita,domestic material consumption (dmc),15.9
2015,tonnes per capita,domestic material consumption (dmc),15.3
2016,tonnes per capita,domestic material consumption (dmc),15.4
2017,tonnes per capita,domestic material consumption (dmc),15.5
2018,tonnes per capita,domestic material consumption (dmc),15.0
2019,tonnes per capita,domestic material consumption (dmc),14.4
2020,tonnes per capita,domestic material consumption (dmc),14.0
2021,tonnes per capita,domestic material consumption (dmc),14.4
2022,tonnes per capita,domestic material consumption (dmc),13.6
2010,2015 = 100,domestic material consumption per real gdp,107.8
2011,2015 = 100,domestic material consumption per real gdp,110.8
2012,2015 = 100,domestic material consumption per real gdp,106.5
2013,2015 = 100,domestic material consumption per real gdp,106.1
2014,2015 = 100,domestic material consumption per real gdp,104.8
2015,2015 = 100,domestic material consumption per real gdp,100.0
2016,2015 = 100,domestic material consumption per real gdp,99.0
2017,2015 = 100,domestic material consumption per real gdp,97.8
2018,2015 = 100,domestic material consumption per real gdp,93.7
2019,2015 = 100,domestic material consumption per real gdp,89.5
2020,2015 = 100,domestic material consumption per real gdp,89.9
2021,2015 = 100,domestic material consumption per real gdp,90.1
2022,2015 = 100,domestic material consumption per real gdp,84.6
