Year,Art der Grundleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Gesundheit,r,,,14.2
2011,Gesundheit,,,,14.7
2012,Gesundheit,,,,14.9
2013,Gesundheit,,,,15.3
2014,Gesundheit,,,,15.7
2015,Gesundheit,,,,15.8
2016,Gesundheit,,,,15.8
2017,Gesundheit,,,,15.7
2018,Gesundheit,,,,15.7
2019,Gesundheit,,,,15.7
2020,Gesundheit,,,,16.3
2021,Gesundheit,,,,16.8
2022,Gesundheit,p,,,17.0
2023,Gesundheit,p,,,15.4
2024,Gesundheit,p,,,15.4
2025,Gesundheit,p,,,15.6
2010,Bildung,r,,,8.99
2011,Bildung,r,,,9.36
2012,Bildung,,,,9.21
2013,Bildung,r,,,9.36
2014,Bildung,r,,,9.4
2015,Bildung,r,,,9.35
2016,Bildung,r,,,9.2
2017,Bildung,r,,,9.2
2018,Bildung,r,,,9.36
2019,Bildung,r,,,9.43
2020,Bildung,,,,8.94
2021,Bildung,r,,,8.78
2022,Bildung,p,,,8.97
2023,Bildung,p,,,9.25
2024,Bildung,p,,,9.09
2025,Bildung,p,,,9.14
2010,Soziale Sicherung,,,,40.82
2011,Soziale Sicherung,,,,40.9
2012,Soziale Sicherung,,,,41.04
2013,Soziale Sicherung,,,,41.14
2014,Soziale Sicherung,r,,,41.35
2015,Soziale Sicherung,r,,,42.05
2016,Soziale Sicherung,r,,,42.77
2017,Soziale Sicherung,r,,,42.72
2018,Soziale Sicherung,r,,,42.27
2019,Soziale Sicherung,r,,,42.2
2020,Soziale Sicherung,r,,,41.86
2021,Soziale Sicherung,r,,,40.38
2022,Soziale Sicherung,p,,,40.83
2023,Soziale Sicherung,p,,,40.58
2024,Soziale Sicherung,p,,,41.28
2025,Soziale Sicherung,p,,,41.22
