Year,Degree of urbanisation,Sex,Series,Value
2010,Cities,,Overcrowding rate,9.6
2011,Cities,,Overcrowding rate,9.5
2012,Cities,,Overcrowding rate,10.8
2013,Cities,,Overcrowding rate,10.4
2014,Cities,,Overcrowding rate,9.9
2015,Cities,,Overcrowding rate,10.5
2016,Cities,,Overcrowding rate,11.0
2017,Cities,,Overcrowding rate,11.4
2018,Cities,,Overcrowding rate,11.5
2019,Cities,,Overcrowding rate,12.7
2020,Cities,,Overcrowding rate,15.0
2021,Cities,,Overcrowding rate,15.5
2010,Towns and suburbs,,Overcrowding rate,4.7
2011,Towns and suburbs,,Overcrowding rate,4.1
2012,Towns and suburbs,,Overcrowding rate,4.8
2013,Towns and suburbs,,Overcrowding rate,5.2
2014,Towns and suburbs,,Overcrowding rate,5.2
2015,Towns and suburbs,,Overcrowding rate,5.6
2016,Towns and suburbs,,Overcrowding rate,5.9
2017,Towns and suburbs,,Overcrowding rate,5.3
2018,Towns and suburbs,,Overcrowding rate,5.5
2019,Towns and suburbs,,Overcrowding rate,5.5
2020,Towns and suburbs,,Overcrowding rate,8.0
2021,Towns and suburbs,,Overcrowding rate,8.6
2010,Rural areas,,Overcrowding rate,4.7
2011,Rural areas,,Overcrowding rate,4.1
2012,Rural areas,,Overcrowding rate,3.7
2013,Rural areas,,Overcrowding rate,4.0
2014,Rural areas,,Overcrowding rate,4.1
2015,Rural areas,,Overcrowding rate,3.9
2016,Rural areas,,Overcrowding rate,3.5
2017,Rural areas,,Overcrowding rate,3.9
2018,Rural areas,,Overcrowding rate,4.2
2019,Rural areas,,Overcrowding rate,4.0
2020,Rural areas,,Overcrowding rate,5.5
2021,Rural areas,,Overcrowding rate,4.9
2010,Cities,,Housing cost overburden rate,16.2
2011,Cities,,Housing cost overburden rate,18.0
2012,Cities,,Housing cost overburden rate,19.8
2013,Cities,,Housing cost overburden rate,18.9
2014,Cities,,Housing cost overburden rate,19.3
2015,Cities,,Housing cost overburden rate,19.1
2016,Cities,,Housing cost overburden rate,19.6
2017,Cities,,Housing cost overburden rate,17.9
2018,Cities,,Housing cost overburden rate,17.6
2019,Cities,,Housing cost overburden rate,16.2
2020,Cities,,Housing cost overburden rate,11.4
2021,Cities,,Housing cost overburden rate,12.2
2010,Towns and suburbs,,Housing cost overburden rate,13.0
2011,Towns and suburbs,,Housing cost overburden rate,14.5
2012,Towns and suburbs,,Housing cost overburden rate,15.5
2013,Towns and suburbs,,Housing cost overburden rate,16.1
2014,Towns and suburbs,,Housing cost overburden rate,14.9
2015,Towns and suburbs,,Housing cost overburden rate,14.5
2016,Towns and suburbs,,Housing cost overburden rate,14.5
2017,Towns and suburbs,,Housing cost overburden rate,13.4
2018,Towns and suburbs,,Housing cost overburden rate,13.3
2019,Towns and suburbs,,Housing cost overburden rate,12.7
2020,Towns and suburbs,,Housing cost overburden rate,7.8
2021,Towns and suburbs,,Housing cost overburden rate,10.4
2010,Rural areas,,Housing cost overburden rate,12.3
2011,Rural areas,,Housing cost overburden rate,13.6
