Year,Art der Erkrankung,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,12.74
2011,,,,,,12.41
2012,,,,,,12.17
2013,,,,,,12.19
2014,,,,,,11.72
2015,,,,,,11.93
2016,,,,,,11.73
2017,,,,,,11.43
2018,,,,,,11.43
2019,,,,,,11.02
2020,,,,,,10.94
2021,,,,,,10.85
2022,,,,,,10.89
2023,,,,,,10.72
2024,,,,,,10.5
2010,a) Krankheiten des Kreislaufsystems,,,,,4.49
2011,a) Krankheiten des Kreislaufsystems,,,,,4.19
2012,a) Krankheiten des Kreislaufsystems,,,,,4.15
2013,a) Krankheiten des Kreislaufsystems,,,,,4.13
2014,a) Krankheiten des Kreislaufsystems,,,,,3.96
2015,a) Krankheiten des Kreislaufsystems,,,,,4.08
2016,a) Krankheiten des Kreislaufsystems,,,,,3.91
2017,a) Krankheiten des Kreislaufsystems,,,,,3.78
2018,a) Krankheiten des Kreislaufsystems,,,,,3.8
2019,a) Krankheiten des Kreislaufsystems,,,,,3.59
2020,a) Krankheiten des Kreislaufsystems,,,,,3.63
2021,a) Krankheiten des Kreislaufsystems,,,,,3.71
2022,a) Krankheiten des Kreislaufsystems,,,,,3.69
2023,a) Krankheiten des Kreislaufsystems,,,,,3.63
2024,a) Krankheiten des Kreislaufsystems,,,,,3.5
2010,b) Bösartige Neubildungen,,,,,7.6
2011,b) Bösartige Neubildungen,,,,,7.53
2012,b) Bösartige Neubildungen,,,,,7.35
2013,b) Bösartige Neubildungen,,,,,7.3
2014,b) Bösartige Neubildungen,,,,,7.04
2015,b) Bösartige Neubildungen,,,,,7.04
2016,b) Bösartige Neubildungen,,,,,7.02
2017,b) Bösartige Neubildungen,,,,,6.78
2018,b) Bösartige Neubildungen,,,,,6.75
2019,b) Bösartige Neubildungen,,,,,6.57
2020,b) Bösartige Neubildungen,,,,,6.47
2021,b) Bösartige Neubildungen,,,,,6.31
2022,b) Bösartige Neubildungen,,,,,6.28
2023,b) Bösartige Neubildungen,,,,,6.13
2024,b) Bösartige Neubildungen,,,,,6.01
2010,c) Diabetes mellitus,,,,,0.35
2011,c) Diabetes mellitus,,,,,0.35
2012,c) Diabetes mellitus,,,,,0.35
2013,c) Diabetes mellitus,,,,,0.36
2014,c) Diabetes mellitus,,,,,0.33
2015,c) Diabetes mellitus,,,,,0.35
2016,c) Diabetes mellitus,,,,,0.34
2017,c) Diabetes mellitus,,,,,0.36
2018,c) Diabetes mellitus,,,,,0.35
2019,c) Diabetes mellitus,,,,,0.34
2020,c) Diabetes mellitus,,,,,0.35
2021,c) Diabetes mellitus,,,,,0.35
2022,c) Diabetes mellitus,,,,,0.35
2023,c) Diabetes mellitus,,,,,0.34
2024,c) Diabetes mellitus,,,,,0.35
2010,d) Chronische Atemwegserkrankungen,,,,,0.78
2011,d) Chronische Atemwegserkrankungen,,,,,0.79
2012,d) Chronische Atemwegserkrankungen,,,,,0.75
2013,d) Chronische Atemwegserkrankungen,,,,,0.84
2014,d) Chronische Atemwegserkrankungen,,,,,0.79
2015,d) Chronische Atemwegserkrankungen,,,,,0.88
2016,d) Chronische Atemwegserkrankungen,,,,,0.86
2017,d) Chronische Atemwegserkrankungen,,,,,0.9
2018,d) Chronische Atemwegserkrankungen,,,,,0.92
2019,d) Chronische Atemwegserkrankungen,,,,,0.9
2020,d) Chronische Atemwegserkrankungen,,,,,0.85
2021,d) Chronische Atemwegserkrankungen,,,,,0.83
2022,d) Chronische Atemwegserkrankungen,,,,,0.93
2023,d) Chronische Atemwegserkrankungen,,,,,0.96
2024,d) Chronische Atemwegserkrankungen,,,,,0.97
2010,,Weiblich,,,,9.19
2011,,Weiblich,,,,9.19
2012,,Weiblich,,,,8.94
2013,,Weiblich,,,,9.03
2014,,Weiblich,,,,8.73
2015,,Weiblich,,,,8.86
2016,,Weiblich,,,,8.79
2017,,Weiblich,,,,8.63
2018,,Weiblich,,,,8.67
2019,,Weiblich,,,,8.38
2020,,Weiblich,,,,8.22
2021,,Weiblich,,,,8.15
2022,,Weiblich,,,,8.31
2023,,Weiblich,,,,8.22
2024,,Weiblich,,,,8.0
2010,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.39
2011,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.32
2012,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.26
2013,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.3
2014,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.23
2015,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.26
2016,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.16
2017,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.05
2018,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.11
2019,a) Krankheiten des Kreislaufsystems,Weiblich,,,,1.96
2020,a) Krankheiten des Kreislaufsystems,Weiblich,,,,1.95
2021,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.02
2022,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.04
2023,a) Krankheiten des Kreislaufsystems,Weiblich,,,,2.02
2024,a) Krankheiten des Kreislaufsystems,Weiblich,,,,1.93
2010,b) Bösartige Neubildungen,Weiblich,,,,6.25
2011,b) Bösartige Neubildungen,Weiblich,,,,6.3
